age;gender;edu;marry;job;income;people;peoplew;cereal;tubers;legumes;vegetables;fruits;fish;eggs;dairy;fats;sweets;know;consider;paymore;fsi;dr
20;1;14;0;1;1500;4;2;7;1;6;3;2;0;5;7;7;7;5;5;5;72;0,500
59;1;14;0;1;2500;3;1;7;4;7;7;5;7;2;7;7;4;2;1;3;80,5;0,667
65;1;16;0;0;1500;1;3;7;1;0;2;3;5;4;7;7;7;5;4;3;54;-2,000
60;1;12;0;0;2500;2;0;2;1;3;7;7;2;7;0;2;2;5;2;3;38;1,000
57;1;9;1;1;2500;3;2;7;3;4;7;7;3;6;5;7;7;4;4;1;67;0,333
64;1;12;0;0;4500;4;2;7;7;5;4;5;5;5;7;7;4;2;3;3;71,5;0,500
50;1;16;1;1;2500;2;3;3;5;7;7;7;7;7;3;2;2;4;5;5;63;-0,500
35;1;16;0;1;1500;1;2;3;1;2;7;3;3;0;3;0;3;3;4;3;43,5;-1,000
33;1;16;1;1;2500;3;0;7;3;7;4;4;7;7;0;7;3;1;2;1;48;1,000
40;1;16;0;0;4500;2;2;7;3;5;0;4;7;0;3;7;6;2;5;3;51,5;0,000
55;1;11;0;1;6500;2;0;4;1;4;7;5;7;1;5;7;1;4;3;3;62;1,000
49;1;16;1;1;2500;5;2;7;2;7;3;3;3;3;3;7;4;5;4;5;58,5;0,600
50;1;16;0;1;2500;1;3;5;6;5;7;4;7;5;6;5;5;4;3;5;69;-2,000
71;1;14;0;0;2500;5;0;7;1;3;3;7;4;3;7;7;4;1;2;3;66,5;1,000
36;1;16;1;1;2500;2;3;3;2;3;3;2;3;4;2;5;6;1;2;2;41,5;-0,500
66;1;11;1;0;2500;3;2;7;4;6;5;7;7;7;7;7;7;3;4;3;79;0,333
52;1;12;1;0;2500;6;2;7;0;7;7;4;7;4;7;7;7;3;2;3;81;0,667
73;1;16;0;1;4500;2;5;4;3;5;6;4;7;3;7;2;1;4;2;3;68,5;-1,500
43;1;12;0;1;1500;2;1;7;7;7;7;7;7;7;4;7;4;4;1;5;70,5;0,500
62;1;12;1;0;4500;2;2;7;6;5;7;7;7;7;7;6;7;4;3;3;77,5;0,000
54;1;14;0;1;2500;2;2;3;3;2;4;2;3;6;7;3;4;2;1;3;57,5;0,000
62;1;14;0;0;4500;1;0;7;7;5;4;4;4;2;7;7;7;5;4;3;72;1,000
46;1;16;1;1;2500;4;1;7;7;7;7;7;7;7;7;7;5;4;4;3;83;0,750
63;1;16;1;1;10000;2;2;6;2;2;2;7;7;2;7;3;3;3;3;3;60;0,000
46;1;16;1;1;2500;4;2;7;7;6;7;7;7;5;7;5;4;4;1;3;78,5;0,500
43;1;9;1;0;1500;3;2;7;0;7;0;0;1;7;0;7;5;2;1;3;41;0,333
32;1;12;1;1;1500;3;1;7;0;7;2;2;7;1;7;7;7;2;1;5;74;0,667
34;1;16;0;0;1500;4;2;5;4;5;5;7;3;5;3;2;3;3;3;5;55,5;0,500
58;0;16;0;1;6500;2;1;7;4;5;7;5;7;5;3;7;5;4;3;3;59;0,500
46;1;16;1;1;4500;4;2;7;7;7;7;7;7;7;7;7;2;4;1;3;81,5;0,500
58;0;16;0;1;4500;2;2;7;3;4;7;5;7;5;2;7;4;4;2;3;51,5;0,000
63;1;5;0;0;1500;1;2;3;2;4;5;3;3;3;4;2;1;3;2;5;51,5;-1,000
62;1;12;1;0;4500;3;1;7;1;7;5;7;7;2;7;7;7;2;4;5;82;0,667
37;1;14;0;1;2500;2;2;7;3;2;6;1;5;0;7;6;4;1;2;2;60;0,000
56;1;16;0;0;8000;2;2;7;5;5;7;7;5;3;4;4;3;2;3;3;62,5;0,000
39;1;16;1;1;6500;2;2;2;4;1;6;6;5;5;5;2;4;1;2;3;52;0,000
22;1;14;0;1;4500;5;2;7;7;7;4;2;7;4;7;7;7;3;1;1;76;0,600
19;1;14;0;1;8000;3;3;7;5;7;7;7;0;2;3;2;4;5;5;3;64;0,000
23;1;12;0;1;1500;3;3;7;7;7;7;7;0;2;0;4;4;5;3;3;53;0,000
40;1;16;0;1;2500;6;2;2;7;7;7;3;0;0;0;0;2;4;5;3;39;0,667
20;1;14;0;1;1500;1;6;3;0;3;6;1;0;6;0;4;3;4;5;3;32,5;-5,000
27;1;16;1;1;4500;2;1;7;5;6;4;2;7;7;5;5;7;2;1;2;64;0,500
24;0;14;0;1;27500;4;2;5;6;2;7;0;6;5;7;7;4;3;2;3;60,5;0,500
45;1;12;1;1;2500;4;4;7;4;6;3;7;6;4;7;6;6;4;4;5;76;0,000
27;1;12;1;1;1500;3;2;5;0;6;5;7;6;2;6;5;5;2;2;3;73;0,333
40;1;16;1;0;1500;3;1;7;1;1;1;3;2;5;1;7;3;5;2;3;30;0,667
38;1;12;1;1;2500;2;1;7;6;6;5;6;7;4;4;4;7;4;3;3;64,5;0,500
38;1;12;1;1;2500;2;2;7;6;6;5;6;7;4;4;4;7;4;4;3;64,5;0,000
47;0;22;1;1;19000;2;2;1;5;1;6;6;7;7;0;1;1;5;5;5;30;0,000
37;0;16;0;1;4500;1;2;5;3;4;4;4;6;3;3;5;4;3;3;3;50,5;-1,000
