IBGE;MUNIC;UF;REG;CAP;AMZ;SEMIAR;IPS25;POP;PIB21;PIBPC21;IVCM;CADPBF;CADPES;CADPBFPERC;RENDATOT;RENDAHOM;RENDAMUL;AREAFLOR;AREANFLOR ;AREAAGRO;AREANVEG;AREAAGUA;AREANAOBSV
2507903;Juripiranga;PB;Nordeste;Não;0;0;51,71011645;10255;117363;11807,80562;51,95;121759;316907;38,42105097;1320,86;1327,29;1307,43;509,9378177;1,06410224;7093,874236;127,6085298;138,6984972;
2508000;Juru;PB;Nordeste;Não;0;1;55,80745656;9380;87266;9519,497704;45,29;113768;282877;40,2181867;1282,66;1160,29;1531,76;29544,55818;5,140903741;9669,678497;138,1061811;151,8430186;
2508109;Lagoa;PB;Nordeste;Não;0;1;56,54068735;4489;51232;11688,78677;49,32;58243;151271;38,5024228;1195,1;1178,84;1219,5;12184,67113;19,9863668;5345,063405;61,28738024;53,29431109;
2508208;Lagoa de Dentro;PB;Nordeste;Não;0;1;55,39306075;8123;83537;10761,83912;47,92;110189;251901;43,74297839;1270,74;1203,37;1386,78;353,2749607;;7845,465975;82,94664739;69,09011459;
2508307;Lagoa Seca;PB;Nordeste;Não;0;1;58,50574748;29209;309763;11252,22755;48,23;276090;762247;36,22054268;1669,74;1739,89;1560,58;1906,680787;0,443627716;8448,362818;439,8702643;26,97092134;
2508406;Lastro;PB;Nordeste;Não;0;1;58,87738524;3316;29495;9396,051075;44,55;41028;103426;39,66894205;1452,77;1400,04;1545,02;6108,248218;;4469,14947;35,71181387;129,2468948;
2508505;Livramento;PB;Nordeste;Não;0;1;56,20123015;7041;70043;10259,46109;45,59;93990;230795;40,72445244;1161,19;1054,88;1316,77;11599,35684;13,12504506;14886,45236;175,1428764;20,30835874;
2508554;Logradouro;PB;Nordeste;Não;0;1;59,97507829;5107;48651;10216,00006;51,95;62674;148535;42,19476891;1399,71;1410,29;1381,35;113,429836;;4061,600856;96,38450367;17,58845567;
2508604;Lucena;PB;Nordeste;Não;0;0;56,29991107;13088;223066;17889,68008;48,04;150072;429035;34,97896442;1444,88;1514,98;1324,21;1742,169625;605,7273308;6042,595713;747,7449593;195,5337083;
2508703;Mãe d'Água;PB;Nordeste;Não;0;1;55,47438564;3599;38604;10852,8633;49,49;45448;118885;38,22854019;1479,07;1467,1;1497,56;19680,87277;95,70800902;2893,860343;71,76052211;125,8879723;
2508802;Malta;PB;Nordeste;Não;0;1;60,44609182;6288;79659;13271,66899;49,37;69330;176797;39,21446631;1331,55;1371,38;1256,73;12741,67652;0,177578882;4068,016674;193,8636518;196,5403611;
2508901;Mamanguape;PB;Nordeste;Não;0;0;57,04701816;46966;805007;18181,6532;47,59;517976;1258359;41,16281602;1457,02;1506,61;1367,24;7843,214468;122,9157227;24646,39908;937,8577737;195,0573938;
2509008;Manaíra;PB;Nordeste;Não;0;1;54,94248745;10699;101428;9791,875062;52,17;154104;377767;40,79339911;1249,1;1245,21;1255,88;25825,39989;;9151,381663;117,4965217;109,699282;
2509057;Marcação;PB;Nordeste;Não;0;0;50,1384318;9537;95670;10708,78887;53,74;149420;337597;44,25987198;1052,27;993,47;1160,51;2739,542357;390,5226726;8444,078263;308,7343175;373,1005003;
2509107;Mari;PB;Nordeste;Não;0;1;58,97979672;22170;241807;11322,61952;48,91;321902;740528;43,46925437;1280,34;1281,55;1278,05;1046,971335;0;13936,56274;385,4820782;157,605709;
2509156;Marizópolis;PB;Nordeste;Não;0;1;65,02095847;7001;81944;12310,54306;53,7;90883;228994;39,68793942;1569,37;1592,16;1528,38;3950,884982;0,976598596;2620,825259;133,1671081;289,5876638;
2509206;Massaranduba;PB;Nordeste;Não;0;1;55,9785893;14756;130381;9288,689532;49,02;167740;414208;40,49656211;1383,93;1417,36;1322,54;9996,472448;;10710,02552;132,4422789;101,3959693;
2509305;Mataraca;PB;Nordeste;Não;0;0;57,92241918;8650;240531;29389,48039;51,38;114003;283879;40,15901141;1675,66;1672,62;1681,85;2822,253683;902,7786497;14113,56587;368,9914517;33,66699192;
2509339;Matinhas;PB;Nordeste;Não;0;1;53,95958989;4759;54035;11907,55972;56;62524;160607;38,92981003;1432,02;1431,92;1432,17;1583,066519;;2047,629838;21,64914573;0;
2509370;Mato Grosso;PB;Nordeste;Não;0;1;61,75341177;2584;31801;12596,59744;49,7;36523;93194;39,19029122;1161,41;1161,12;1161,81;4790,985791;31,17746769;3553,415655;47,96851606;103,1346096;
2509396;Maturéia;PB;Nordeste;Não;0;1;56,63844705;6717;61811;9678,566812;46,5;96752;233642;41,41036286;1171,93;1229,35;1070,12;5786,221138;5,942776154;2351,547817;152,0272766;9,135723602;
2509404;Mogeiro;PB;Nordeste;Não;0;1;54,46375558;14435;164372;11912,50562;59,88;193459;467993;41,33801147;1193,05;1186,99;1202,31;5283,459501;;15773,69281;190,2424609;162,2177902;
2509503;Montadas;PB;Nordeste;Não;0;1;58,40096541;6144;55245;9574,722729;47,89;77044;195932;39,32180552;1243,3;1317,69;1111,16;82,07648715;16,32660451;2685,739668;385,8954783;8,607059222;
2509602;Monte Horebe;PB;Nordeste;Não;0;1;59,14220435;4429;48074;11162,96455;46,92;59324;147059;40,34027159;1226,42;1091,25;1514,46;8219,351145;4,435634253;3325,462733;47,81410484;88,17729322;
2509701;Monteiro;PB;Nordeste;Não;0;1;58,52926095;33886;635380;19828,92691;44,53;414862;1044216;39,72951956;1507,65;1516,25;1496,12;61669,44458;35,43322604;35318,74011;1273,043875;956,7625776;
2509800;Mulungu;PB;Nordeste;Não;0;1;51,48022996;8909;98150;11246,33091;51,04;118708;280837;42,26935909;1261,1;1253,35;1277,42;899,201637;0;17654,64505;95,49076055;75,78980657;
2509909;Natuba;PB;Nordeste;Não;0;1;52,8237451;8935;95465;10750,35154;52,04;104845;273839;38,2870957;1133,06;1067,1;1253,55;10092,68057;0;9649,62248;64,79203546;412,4229979;
2510006;Nazarezinho;PB;Nordeste;Não;0;1;60,67782268;7394;65965;9224,843052;45,93;98033;246565;39,75949547;1239,97;1088,3;1567,04;12172,91986;;6933,082952;67,01640806;148,0518059;
2510105;Nova Floresta;PB;Nordeste;Não;0;1;52,49284921;9840;99606;10318,09171;48,56;132016;316700;41,68487528;1164,88;1144,73;1194,78;1449,526134;8,706953955;2853,342816;417,2235685;29,31804125;
2510204;Nova Olinda;PB;Nordeste;Não;0;1;57,80433936;5897;57802;10061,16375;51,33;79131;193688;40,85488001;1349,31;1404,61;1251,07;4061,252894;171,9358651;3728,399622;128,9097874;58,51493962;
2510303;Nova Palmeira;PB;Nordeste;Não;0;1;57,85940964;4359;48983;11585,0143;50,71;40049;112014;35,75356652;1358,99;1473,24;1171,93;19109,78123;103,0141955;11962,76476;137,3832727;161,5391482;
2510402;Olho d'Água;PB;Nordeste;Não;0;1;59,41540433;6059;61851;10280,94262;47,36;90151;219655;41,04208873;1357,53;1163,72;1652,74;50940,96449;21,64238663;6320,407713;96,86533273;664,6218356;
2510501;Olivedos;PB;Nordeste;Não;0;1;60,363731;3675;43585;12263,45545;49,93;41023;117282;34,978087;1175,06;1151,62;1225,5;18475,39463;9,674109033;12613,1707;201,6472985;163,5786907;
2510600;Ouro Velho;PB;Nordeste;Não;0;1;56,83270416;3000;38279;13213,99476;54,58;37681;106073;35,52364881;1233,61;1110,18;1444,61;8137,563784;;4549,961719;105,8213868;15,95425176;
2510659;Parari;PB;Nordeste;Não;0;1;58,20894018;1745;21495;12588,3218;46,89;17244;53494;32,23539088;1306,17;1263,4;1362,67;7050,722575;3,635982129;13609,307;74,85303728;44,51781245;
2510709;Passagem;PB;Nordeste;Não;0;1;61,25333222;2580;28860;11802,95493;46,09;32229;82131;39,2409687;1264,45;1281,38;1234,63;7745,907547;118,0012282;4195,033026;231,3028998;52,34905536;
2510808;Patos;PB;Nordeste;Não;0;1;64,59155097;108104;1993586;19465,31457;48,17;853235;2273056;37,53691066;1986,29;2146,39;1772,23;25806,10716;255,9322228;17869,25186;2561,847479;795,7508161;
2510907;Paulista;PB;Nordeste;Não;0;1;57,84213574;12172;157014;13364,89794;48,45;149707;365824;40,92323084;1406,27;1388,34;1438,51;31665,5547;50,71606932;24883,57307;250,03161;888,0745932;
2511004;Pedra Branca;PB;Nordeste;Não;0;1;59,49987211;3851;37463;10092,66646;41,24;38879;106930;36,35930048;1592,76;1561,02;1649,38;8221,884415;105,1659785;2870,882205;85,29829274;407,2638343;
2511103;Pedra Lavrada;PB;Nordeste;Não;0;1;60,37030008;6980;80075;11759,66577;51,58;79298;207904;38,1416423;1309,42;1290,97;1340,58;19466,77179;54,24952673;13644,30892;284,5825068;113,0303384;
2511202;Pedras de Fogo;PB;Nordeste;Não;0;0;52,91134192;31356;556476;18897,52123;42,13;365321;928438;39,34791553;1380,04;1409,51;1325,8;5628,917293;66,07243088;34183,1309;601,7054166;190,5928811;
2511301;Piancó;PB;Nordeste;Não;0;1;57,82840328;17088;206302;12639,62074;48,58;205859;461581;44,59867282;1572,34;1628,49;1485,22;38622,21683;23,32908318;17664,18031;217,5208783;1172,656807;
2511400;Picuí;PB;Nordeste;Não;0;1;54,1988985;18862;213192;11713,7567;44,09;210283;518973;40,51906361;1495,45;1485,32;1513,27;36764,08427;311,038019;28920,72572;603,4953195;168,3645483;
2511509;Pilar;PB;Nordeste;Não;0;0;56,14622839;12889;121700;9957,632199;52,7;147345;359489;40,98734593;1479,93;1358,41;1668,26;1407,807905;;8627,796128;210,7487586;83,63931614;
2511608;Pilões;PB;Nordeste;Não;0;1;55,63251849;6974;95436;14106,04296;52,89;128163;297928;43,01811176;1365,07;1311,97;1464,2;2967,68875;;3548,666982;40,48056558;1,331595746;
2511707;Pilõezinhos;PB;Nordeste;Não;0;1;57,39140758;5539;51216;9680,967686;53,92;93294;212946;43,81110704;1162,47;1212,81;1079,45;1959,569098;;2098,248106;30,36192585;2,485853809;
2511806;Pirpirituba;PB;Nordeste;Não;0;1;64,01933067;9411;95103;10256,66509;46,31;118793;306990;38,69604873;1262,33;1242,98;1297,9;2395,081641;;5578,074922;81,68537787;13,40717554;
2511905;Pitimbu;PB;Nordeste;Não;0;0;50,95901933;17166;430316;25876,5033;54,84;253987;591317;42,95276476;1327,48;1359,93;1270,54;3040,733223;566,6609195;8773,422728;924,6928683;162,5058197;0,088659338
