MUNI;MESO;PIB;POP;IPSPE;IPSMED;IPSBEM;IPSMORA;IPSAGUA;IPSAMB;IPSEDU
162;4;482239;37596;53,24;60,71;52,63;87,74;58,60;65,29;75,88
163;1;41240;5210;55,35;68,10;56,06;88,29;35,10;69,55;78,53
164;3;771790;64120;61,50;73,42;49,11;90,94;77,56;66,64;74,21
165;1;249041;27681;62,10;70,50;57,00;92,24;77,17;67,02;77,97
166;3;126855;13738;55,31;72,64;65,70;91,51;60,43;66,17;61,00
167;2;170641;23902;55,34;71,21;65,38;81,87;44,79;62,59;62,18
168;4;285465;23561;55,34;59,87;53,66;78,72;60,20;67,99;73,18
169;3;264931;24736;54,87;75,88;48,79;91,92;41,77;66,08;70,09
170;3;51416;6513;58,59;68,43;46,27;91,97;49,29;67,06;71,85
171;2;67422;8920;57,66;68,39;59,99;77,22;81,25;68,14;79,19
172;4;647077;46147;59,82;73,43;44,14;93,60;72,76;65,23;76,28
173;3;624447;41137;57,11;66,56;54,01;94,45;52,58;64,66;63,28
174;4;101554;13867;58,68;65,28;56,82;91,40;68,68;68,97;77,77
175;1;281831;30321;55,86;65,00;51,63;85,38;69,27;67,90;73,30
176;1;138875;14705;59,63;75,51;56,69;91,80;45,39;67,42;81,03
177;1;184087;26937;54,31;74,20;65,91;83,49;48,21;66,85;67,43
178;1;75782;8005;55,77;75,52;37,79;95,54;78,05;64,35;76,36
179;3;207645;17251;52,45;68,20;53,38;93,91;58,56;63,86;75,34
180;1;64768;9169;56,50;66,45;52,83;86,50;67,98;63,58;69,57
181;3;67079;7558;55,70;75,87;54,34;88,87;31,59;62,50;75,13
182;3;153721;21959;54,48;70,74;64,42;91,46;54,42;65,02;69,99
183;4;357344;26359;56,25;74,64;47,73;91,40;56,46;65,32;73,95
184;4;3691942;134084;57,11;69,62;56,45;92,02;76,56;72,54;73,08
185;4;104732;11611;56,51;55,96;41,97;91,51;72,84;66,30;74,53
;;;;;;;;;;
