ANO;ISNA;ALGODAOH;AMENDOIM;ARROZ;BATATAD;CEBOLA;FAVA;FEIJAO;FUMO;MAMONA;MELANCIA;MELAO;MILHO;SOJA;TOMATE
2019;0,65;161884;468;14838;1037;0;4659;76984;3833;95;1608;126;178189;586164;429
2019;0.6;110156;607;9964;1884;666;2555;142327;277;2076;3670;354;270739;730308;2346
2019;0.55;7619;372;10450;6237;1330;6690;328740;12348;11580;8520;1671;467995;77810;4111
2019;0.5;20151;525;14588;1688;2271;9671;277287;305;13346;14206;1307;427808;233535;1653
2019;0,45;6322;357;9785;813;5201;4946;384172;74;22419;10061;16700;524421;136205;1812
2020;>0,65;27176;593;3384;4970;27;6161;114921;2963;32;321;25;207046;244388;865
2020;0,65;153304;386;14870;1172;0;4895;75780;3902;95;1659;120;159727;605783;366
2020;0.6;109646;542;10773;1999;570;2373;139796;307;2618;4315;286;256747;772255;2271
2020;0.55;8273;421;10637;6611;1518;6928;332369;15506;9173;8176;1610;494264;72679;3879
2020;0.5;20534;531;15971;1795;2030;10162;281145;338;12893;13804;1361;467543;211784;1489
2020;0,45;7478;279;10600;756;5346;5168;391094;42;20603;11103;19458;535612;130907;1662
2021;>0,65;17221;508;3222;4681;10;5784;116748;2951;50;348;15;196517;257491;799
2021;0,65;149342;287;15179;927;0;3447;61408;3908;100;1638;702;157394;640236;246
2021;0.6;90085;559;9885;1912;751;1843;141316;205;2627;4142;290;261425;817003;2661
2021;0.55;6226;431;11926;7109;1593;5386;327051;13865;9372;6349;994;532611;72142;4105
2021;0.5;16060;463;16559;1628;1673;9717;262702;337;12819;14224;1300;507692;232339;1637
2021;0,45;4482;274;13953;942;5660;5417;376806;40;20600;10354;18723;550357;155986;1823
2022;>0,65;23958;567;3256;5037;20;6196;118062;2930;20;347;15;216747;273114;813
2022;0,65;151914;485;15729;989;0;3668;71592;4015;100;1561;812;176529;700448;322
2022;0.6;102593;568;10811;1785;679;2151;141794;208;3320;4516;193;267082;792186;2732
2022;0.55;8486;454;9421;7722;1572;6337;325910;11810;9886;7910;1463;550399;79745;4231
2022;0.5;18149;486;14853;1615;1688;10568;258981;272;12833;9529;3793;559322;240911;1663
2022;0,45;4541;359;7374;743;6121;6593;373588;35;21652;8776;19622;578160;165260;1979
2023;>0,65;23829;631;3489;5606;18;6010;115934;2770;42;423;15;226633;313564;925
2023;0,65;154363;521;16188;1418;34;4037;69611;4731;50;1534;820;176786;767954;1150
2023;0.6;108495;574;11418;1924;646;2125;147708;195;3356;5307;314;268298;857721;3566
2023;0.55;8826;409;9538;9737;1684;6049;316893;8063;9346;7300;1247;575241;83540;4836
2023;0.5;18616;491;14962;1887;2038;9761;243816;302;13453;9548;3838;599343;284036;1820
2023;0,45;5455;344;8212;863;6022;5479;371141;43;22764;10133;22656;574490;167987;1945
