IBGE;MUNIC;NHB1114;NHB1115;NHB1116;NHB1117;NHB1118;NHB1119;NHB1120;NHB1121;NHB1122;NHB1123;NHB1214;NHB1215;NHB1216;NHB1217;NHB1218;NHB1219;NHB1220;NHB1221;NHB1222;NHB1223;NHB1314;NHB1315;NHB1316;NHB1317;NHB1318;NHB1319;NHB1320;NHB1321;NHB1322;NHB1323;NHB1414;NHB1415;NHB1416;NHB1417;NHB1418;NHB1419;NHB1420;NHB1421;NHB1422;NHB1423;NHB1514;NHB1515;NHB1516;NHB1517;NHB1518;NHB1519;NHB1520;NHB1521;NHB1522;NHB1523;NHB1524
5104500;Indiavaí;76,92;0,00;0,00;0,00;0,00;0,00;50,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;45,19;0,00;45,19;0,00;0,00;90,38;45,19;0,00;0,00;1,92;1,41;3,45;3,81;4,26;3,47;3,45;0,00;1,19;2,15;4,80
5104526;Ipiranga do Norte;9,62;31,91;20,83;0,00;9,52;33,06;15,75;24,00;7,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,80;0,00;0,00;0,00;0,00;0,00;25,59;0,00;12,80;0,00;2,13;2,86;1,96;2,61;2,31;2,40;2,48;1,31;1,77;2,41;2,58
5104559;Itaúba;0,00;11,49;0,00;29,41;29,41;10,99;14,08;0,00;12,35;35,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,92;19,92;19,92;0,00;0,00;0,00;0,00;0,00;1,78;4,31;3,06;2,74;2,67;2,51;3,00;1,96;3,81;3,67;3,05
5104609;Itiquira;17,44;9,48;11,90;11,49;11,83;10,05;29,76;27,21;13,51;0,00;0,00;0,00;125,00;0,00;0,00;58,14;0,00;59,52;0,00;0,00;0,00;0,00;0,00;0,00;8,17;0,00;8,17;0,00;0,00;0,00;0,00;8,17;0,00;32,69;24,52;8,17;8,17;24,52;16,35;49,04;3,73;3,80;4,64;3,99;3,97;5,42;4,72;13,27;7,63;3,76;3,06
5104807;Jaciara;10,10;18,52;20,83;12,45;2,19;4,44;4,61;7,01;2,43;21,74;0,00;23,58;0,00;0,00;0,00;0,00;20,58;0,00;0,00;0,00;0,00;3,50;0,00;7,00;3,50;0,00;7,00;3,50;0,00;3,50;10,50;14,00;14,00;14,00;10,50;17,50;7,00;7,00;14,00;14,00;3,64;3,34;2,95;2,27;2,89;2,44;2,57;2,39;3,25;2,99;2,97
5104906;Jangada;10,10;8,13;29,41;26,09;18,52;0,00;0,00;10,53;0,00;20,62;0,00;84,03;0,00;87,72;0,00;0,00;81,30;0,00;86,96;0,00;0,00;26,93;0,00;13,47;26,93;13,47;0,00;13,47;0,00;13,47;0,00;26,93;13,47;13,47;0,00;13,47;13,47;40,40;13,47;26,93;5,00;3,10;2,62;2,19;1,84;2,40;11,33;1,40;2,72;3,41;3,50
5105002;Jauru;0,00;6,54;15,38;15,50;9,01;39,06;24,79;15,50;0,00;18,87;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,95;23,90;23,90;11,95;11,95;11,95;11,95;0,00;0,00;0,00;0,00;11,95;23,90;0,00;0,00;0,00;47,81;11,95;35,86;11,95;3,28;3,03;2,19;2,95;3,04;3,67;1,75;3,27;3,77;4,38;3,25
5105101;Juara;18,49;14,39;14,40;17,09;4,82;15,85;14,73;15,29;12,54;12,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;41,15;17,09;0,00;2,86;2,86;8,59;11,46;2,86;8,59;8,59;2,86;0,00;0,00;22,92;2,86;14,32;8,59;8,59;0,00;8,59;14,32;14,32;14,32;4,13;3,69;4,37;3,57;2,94;2,94;3,40;3,38;3,91;3,90;3,43
5105150;Juína;11,63;15,58;15,80;16,22;17,17;20,60;16,37;12,20;22,38;13,14;14,29;0,00;16,56;15,95;0,00;14,53;0,00;0,00;0,00;0,00;2,18;2,18;4,36;4,36;0,00;0,00;0,00;4,36;2,18;6,54;15,26;19,62;21,80;17,44;10,90;15,26;10,90;13,08;13,08;17,44;3,28;3,65;4,01;3,58;3,21;2,70;3,22;3,27;3,97;3,90;3,61
5105176;Juruena;10,75;0,00;13,70;7,75;29,85;6,62;18,87;23,53;0,00;12,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;68,49;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,79;0,00;9,79;0,00;0,00;9,79;0,00;0,00;0,00;9,79;9,79;3,02;4,24;2,81;3,37;2,54;3,10;4,19;4,13;3,92;3,96;3,76
5105200;Juscimeira;24,84;0,00;0,00;7,69;14,71;7,52;0,00;28,85;26,32;19,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,71;0,00;17,42;0,00;0,00;0,00;8,71;0,00;0,00;0,00;8,71;8,71;17,42;26,13;0,00;8,71;0,00;8,71;0,00;3,07;2,95;3,06;2,60;3,33;2,78;4,93;7,17;4,33;3,28;2,71
5105234;Lambari D'Oeste;18,52;34,48;13,16;13,33;0,00;13,33;27,03;0,00;63,49;26,32;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,88;20,88;20,88;0,00;20,88;0,00;0,00;0,00;0,00;2,36;2,86;2,27;2,41;2,24;3,35;0,89;2,87;3,18;2,40;1,62
5105309;Luciara;0,00;0,00;37,04;33,33;51,28;90,91;58,82;29,41;27,78;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;39,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,72;2,63;5,01;4,32;2,56;3,99;3,07;2,79;3,67;3,96;3,27
5105507;Vila Bela da Santíssima Trindade;22,99;19,31;19,31;28,27;7,63;25,83;32,65;15,75;6,47;24,73;0,00;0,00;0,00;0,00;50,00;38,31;0,00;0,00;0,00;0,00;5,96;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,96;23,85;11,92;0,00;5,96;17,88;0,00;11,92;5,96;17,88;11,92;1,73;3,02;2,54;2,09;2,47;3,03;6,06;4,13;4,09;4,17;3,54
5105622;Mirassol d'Oeste;14,05;13,27;25,32;12,25;14,81;11,01;12,14;12,38;11,74;19,37;0,00;27,32;0,00;0,00;51,15;0,00;0,00;0,00;0,00;24,21;0,00;3,73;0,00;0,00;14,93;3,73;0,00;0,00;0,00;7,47;7,47;7,47;7,47;7,47;26,13;3,73;14,93;3,73;14,93;7,47;3,07;2,82;3,44;3,66;3,08;2,91;3,71;4,05;3,35;3,86;3,87
5106109;Nossa Senhora do Livramento;16,26;0,00;0,00;14,49;15,75;13,07;7,94;25,64;26,32;24,59;0,00;0,00;61,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,73;15,46;23,18;15,46;0,00;0,00;7,73;0,00;7,73;23,18;15,46;0,00;7,73;7,73;15,46;15,46;0,00;0,00;7,73;0,00;2,41;3,37;2,70;3,68;4,33;3,79;4,37;4,20;4,49;4,59;4,38
5106158;Nova Bandeirantes;25,64;19,11;6,80;31,65;16,22;5,32;11,63;16,30;13,57;14,22;0,00;0,00;0,00;0,00;0,00;64,10;0,00;68,03;0,00;0,00;7,33;14,67;0,00;0,00;7,33;7,33;0,00;0,00;0,00;7,33;14,67;0,00;0,00;7,33;7,33;7,33;7,33;14,67;7,33;7,33;3,67;3,59;4,13;4,78;3,62;3,66;2,72;2,91;3,12;3,69;3,19
5106174;Nova Nazaré;270,27;155,56;29,41;39,60;0,00;40,00;29,41;88,24;90,09;51,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;47,62;71,43;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;47,62;47,62;23,81;23,81;23,81;47,62;95,24;0,00;23,81;1,64;1,94;2,03;2,23;2,26;2,91;4,11;3,21;2,89;3,33;2,52
5106208;Nova Brasilândia;62,50;23,81;38,46;23,81;24,39;42,55;0,00;21,74;25,00;44,44;0,00;0,00;0,00;0,00;0,00;0,00;0,00;384,62;0,00;0,00;25,43;0,00;0,00;25,43;25,43;25,43;0,00;25,43;0,00;25,43;0,00;50,86;0,00;25,43;50,86;25,43;0,00;0,00;76,30;0,00;2,59;2,77;2,97;4,45;3,74;4,74;3,54;3,01;4,15;4,25;4,38
