IBGE;ESTADO;IPS;NHB;FBE;OP;NHB1;NHB2;NHB3;NHB4;FBE1;FBE2;FBE3;FBE4;OP1;OP2;OP3;OP4;NHB11;NHB12;NHB13;NHB14;NHB15;NHB21;NHB22;NHB23;NHB31;NHB32;NHB33;NHB34;NHB41A;NHB41B;NHB42A;NHB42B;NHB43;FBE11;FBE12;FBE13;FBE14;FBE15;FBE21;FBE22;FBE23;FBE24;FBE31;FBE32;FBE33;FBE34;FBE35;FBE41;FBE42;FBE43;FBE44;FBE45;OP11;OP12;OP13;OP14;OP21;OP22;OP23;OP24;OP31;OP31B;OP32;OP33A;OP33B;OP41;OP42
1720499;TO;51,72;63,26;57,97;33,94;80,80;28,66;85,48;58,09;80,13;17,02;65,59;69,14;21,45;45,29;57,17;11,86;22,73;357,14;25,25;9,67;6,61;84,63;42,94;62,14;62,58;95,55;92,65;85,15;0,00;1,00;51,23;6,00;51,23;0,02;8,20;19,30;4,95;6,00;3,17;3,65;98,10;1,31;25,62;128,07;51,23;128,07;25,62;0,00;0,00;0,00;47,06;28,33;55,56;2,82;4,00;0,00;3,00;27,27;13,70;31,82;0,00;1,00;204,39;240,67;4,00;16,11;13,51
1720655;TO;52,99;65,47;59,60;33,92;89,62;34,73;92,26;45,24;76,25;18,36;73,90;69,88;24,32;48,48;52,40;10,47;10,87;0,00;7,44;7,48;5,20;66,97;1,48;80,14;83,62;97,39;95,25;90,38;82,37;6,00;18,42;4,00;55,27;0,30;10,90;22,10;4,15;3,00;6,19;3,96;91,18;1,06;55,27;110,54;221,08;73,69;18,42;0,00;0,00;0,00;30,64;11,19;22,22;1,84;8,00;0,00;1,00;18,52;0,00;41,98;0,00;1,00;260,61;238,28;4,00;15,41;11,19
1720804;TO;51,63;65,05;51,49;38,35;84,23;39,33;84,14;52,51;73,36;6,63;77,05;48,90;24,97;41,86;66,81;19,77;19,87;148,15;8,74;11,08;7,46;74,29;11,25;53,28;63,92;92,29;85,38;90,05;77,17;6,00;11,12;4,00;11,12;1,00;14,90;28,90;4,55;4,60;0,82;0,87;47,83;0,21;66,69;77,80;177,84;33,34;11,12;0,00;97,07;0,26;11,69;0,34;22,22;2,89;8,00;0,00;2,00;28,48;2,59;69,54;0,00;1,00;90,87;138,76;4,00;27,22;22,31
1720853;TO;56,63;76,22;56,61;37,07;90,45;23,10;93,02;98,33;76,11;9,20;73,01;68,13;15,38;44,36;66,36;22,17;8,33;0,00;0,00;10,53;5,59;69,78;0,43;94,92;77,49;98,17;97,97;94,53;0,00;1,00;0,00;1,00;10,17;0,40;12,70;19,40;4,80;8,00;1,47;1,84;55,81;0,98;41,25;100,71;100,71;101,73;5,39;0,00;0,00;0,00;91,72;9,97;44,44;4,03;2,00;0,00;1,00;22,22;4,27;37,04;0,00;1,00;96,15;224,72;4,00;29,90;25,41
1720903;TO;51,77;60,83;58,75;35,74;85,59;39,29;82,37;36,05;69,55;14,17;80,86;70,43;18,90;51,26;61,13;11,67;25,86;107,53;17,83;0,00;6,16;75,03;5,37;78,53;68,08;86,49;91,18;80,01;94,03;6,00;47,55;6,00;29,72;0,70;22,10;31,30;4,70;7,30;2,99;3,21;77,87;0,75;29,72;59,44;178,31;83,21;5,94;0,00;0,00;0,00;15,59;6,48;54,55;2,85;3,00;0,00;2,00;18,97;4,59;26,72;0,00;1,00;157,82;163,62;4,00;17,62;12,20
1720937;TO;58,34;81,00;57,12;36,91;71,13;72,58;93,68;86,61;68,88;13,17;76,71;69,72;25,13;44,55;66,69;11,26;8,00;0,00;46,17;46,17;5,62;81,11;66,28;95,51;79,88;97,74;99,18;94,47;0,00;1,00;9,39;3,00;0,00;1,10;23,70;35,80;4,15;0,80;2,13;1,73;91,25;1,70;46,17;46,17;138,50;46,17;34,46;0,00;0,00;0,00;26,19;21,07;33,33;1,85;5,00;4,00;2,00;26,67;3,61;33,33;0,00;1,00;92,25;178,57;4,00;16,03;12,37
1720978;TO;51,98;58,00;61,08;36,85;88,75;41,08;90,35;11,81;77,04;16,76;82,90;67,63;13,49;57,11;54,00;22,82;0,00;3571,43;7,25;0,00;5,57;68,30;37,07;84,78;61,56;97,23;98,94;96,72;28,45;5,00;35,56;5,00;248,93;0,30;9,70;25,30;4,90;7,00;4,45;3,30;93,96;0,80;35,56;71,12;71,12;35,56;7,31;0,00;0,00;0,00;122,67;5,65;33,33;4,27;2,00;0,00;2,00;13,04;0,00;39,13;0,00;1,00;141,74;722,02;5,00;35,32;23,31
1721000;TO;72,98;77,83;75,27;65,83;90,13;81,33;97,84;42,00;89,99;52,80;87,24;71,06;59,93;73,36;30,04;100,00;14,96;40,44;11,10;0,65;4,91;94,63;88,92;98,86;98,06;98,36;99,02;95,85;63,61;6,00;34,61;5,00;34,28;0,20;4,50;12,10;5,70;0,30;26,30;16,87;146,54;2,80;18,61;75,42;80,31;24,81;4,57;4,48;0,00;0,00;2,04;0,48;73,68;8,63;11,00;10,00;6,00;12,17;0,94;20,54;96,85;5,00;331,41;246,02;4,00;162,48;97,37
1721109;TO;52,63;58,47;60,78;38,63;83,95;36,88;58,27;54,80;60,89;6,00;85,46;90,75;40,36;37,16;68,14;8,84;20,94;529,10;26,26;2,74;4,80;43,58;3,82;72,22;41,26;70,72;58,22;58,22;18,96;4,00;21,26;5,00;18,69;2,70;26,90;50,30;4,60;7,10;3,22;1,05;26,47;0,72;39,39;65,64;170,67;26,26;5,88;69,98;0,00;0,00;9,26;40,45;44,44;1,44;10,00;5,00;1,00;32,46;0,00;19,90;2,39;2,00;26,98;158,79;4,00;13,14;9,37
1721208;TO;52,50;66,92;60,86;29,72;88,98;44,36;87,41;46,92;70,44;14,67;76,56;81,79;26,85;45,58;36,75;9,70;2,68;268,10;4,38;8,75;6,89;84,83;57,38;93,65;88,20;95,44;84,83;80,69;105,19;6,00;39,40;5,00;4,38;0,50;18,80;34,30;4,55;5,90;2,97;3,91;73,82;0,55;65,66;65,66;192,60;65,66;8,76;58,19;27,73;0,25;4,15;3,77;36,36;25,21;2,00;0,00;2,00;24,93;2,05;56,30;69,61;5,00;252,31;211,12;4,00;14,94;9,95
1721257;TO;56,12;66,76;57,50;44,12;91,94;39,20;90,33;45,55;81,51;9,64;71,31;67,52;38,69;59,79;65,68;12,33;8,33;0,00;0,00;0,00;7,04;74,29;96,54;97,13;72,17;96,70;94,10;93,87;40,98;6,00;10,58;4,00;53,41;0,14;4,50;15,40;4,95;7,20;10,60;2,09;8,86;0,99;52,03;52,88;364,20;52,03;52,03;0,00;0,00;0,00;57,57;12,30;22,22;8,33;8,00;7,00;2,00;10,53;0,00;26,32;0,00;1,00;104,17;208,77;4,00;17,93;13,32
1721307;TO;55,71;74,37;56,47;36,27;92,89;52,59;80,04;71,98;71,71;16,69;67,59;69,90;13,12;49,26;68,01;14,69;0,00;0,00;0,00;8,13;5,25;63,96;1,73;93,07;52,12;92,56;91,03;77,02;0,00;1,00;36,64;5,00;7,49;2,22;16,30;32,50;4,70;4,10;3,08;1,84;120,00;0,31;109,93;36,64;219,86;37,44;37,44;0,00;0,25;0,00;29,02;10,05;33,33;3,66;2,00;0,00;2,00;21,43;0,00;53,57;0,00;1,00;76,69;493,42;4,00;19,75;16,88
1722081;TO;56,50;65,90;58,26;45,33;87,17;35,50;91,12;49,82;79,10;8,29;81,17;64,47;29,52;51,78;90,04;9,97;14,49;150,38;8,52;8,52;6,11;82,76;25,64;66,26;80,98;97,15;90,90;92,83;53,89;6,00;8,52;3,00;68,18;1,00;12,10;18,80;4,60;1,10;1,60;1,28;54,17;0,38;8,52;59,66;144,88;51,13;17,04;0,00;23,09;0,96;19,03;3,65;44,44;1,79;6,00;4,00;2,00;16,67;3,60;72,46;0,00;1,00;17,27;37,74;2,00;13,92;11,12
1722107;TO;55,25;69,88;56,29;39,59;85,30;37,40;92,10;64,72;81,09;16,20;75,78;52,10;18,99;49,45;81,48;8,44;36,27;518,14;8,68;0,00;5,25;83,17;1,60;90,04;85,49;98,00;87,81;95,41;34,14;5,00;8,68;3,00;8,68;1,52;9,30;19,60;4,95;1,00;2,67;2,06;114,26;0,41;104,17;52,08;295,14;60,76;5,13;0,00;84,26;0,29;25,11;0,96;66,67;3,30;2,00;0,00;2,00;20,21;2,40;60,62;0,00;1,00;18,13;76,37;3,00;13,65;8,26
2100055;MA;58,05;67,09;57,54;49,50;89,31;48,40;94,37;36,29;76,74;26,04;76,92;50,46;37,14;56,24;90,91;13,71;14,74;56,69;12,38;1,77;5,17;93,36;91,32;100,00;90,78;96,82;92,87;96,13;101,37;6,00;60,11;6,00;28,29;2,00;12,60;23,10;4,80;2,80;27,27;1,32;89,57;0,43;53,93;76,03;172,38;36,24;8,84;0,00;92,42;0,89;22,58;2,02;58,82;4,03;10,00;0,00;4,00;21,15;1,08;66,67;0,00;1,00;6,99;3,52;2,00;21,43;13,89
2100204;MA;54,43;65,26;54,81;43,22;89,99;34,89;61,20;74,98;74,11;7,29;82,73;55,13;28,70;55,95;82,24;5,98;4,72;125,00;4,52;4,52;7,07;54,38;3,97;27,94;24,25;83,57;61,95;65,33;18,33;4,00;4,52;2,00;18,09;1,20;17,60;28,80;4,40;0,30;1,05;0,40;47,80;12,89;58,79;36,18;108,54;49,75;0,46;0,03;74,64;0,02;6,09;0,99;54,55;4,30;3,00;6,00;3,00;17,45;0,58;63,68;0,00;1,00;9,12;53,80;3,00;12,47;4,11
2100402;MA;53,56;70,92;52,38;37,39;89,47;41,57;78,27;74,37;61,56;10,71;87,74;49,50;11,40;41,60;76,99;19,56;12,20;0,00;12,30;0,00;6,18;92,51;87,74;8,24;76,17;99,66;78,35;56,39;8,94;3,00;7,38;3,00;12,21;6,40;25,40;29,90;4,30;5,70;6,25;0,26;63,53;3,58;24,42;48,85;109,90;36,64;0,00;0,00;100,00;0,00;19,89;1,82;33,33;0,86;2,00;0,00;1,00;26,67;0,00;36,00;0,00;1,00;70,94;104,60;3,00;29,46;20,49
2100436;MA;54,57;65,04;55,34;43,33;89,07;46,64;82,11;42,32;72,67;9,13;84,89;54,65;23,50;41,28;91,51;17,05;20,15;93,29;3,59;0,00;6,77;91,11;4,35;66,15;66,08;93,40;80,61;84,07;52,97;6,00;28,72;5,00;32,31;4,00;14,10;20,10;4,20;1,50;3,79;0,14;64,93;1,24;53,84;50,26;157,94;21,54;7,18;0,00;76,82;0,05;6,25;1,32;45,46;1,36;6,00;0,00;2,00;30,73;1,68;39,04;0,00;1,00;0,00;25,62;2,00;24,94;18,31
2100477;MA;57,43;68,43;57,29;46,57;87,66;51,13;69,83;65,12;86,87;8,15;83,93;50,20;31,29;52,65;87,74;14,62;20,46;0,00;12,52;1,91;5,96;93,28;58,77;26,98;56,64;84,85;65,17;68,80;22,52;5,00;6,26;3,00;6,26;0,44;4,20;16,50;5,30;0,40;4,79;0,16;50,86;0,35;34,44;46,96;144,01;37,57;9,40;0,06;96,27;0,04;23,28;2,13;38,46;0,66;5,00;8,00;5,00;31,36;1,26;24,32;0,00;1,00;44,38;21,83;2,00;23,40;14,45
2100501;MA;57,81;63,04;63,73;46,66;84,71;28,62;71,39;67,44;76,62;14,20;84,23;79,88;28,54;52,12;89,96;16,01;26,18;223,47;8,94;1,79;8,15;65,62;37,42;65,25;63,63;80,05;71,10;68,37;13,03;4,00;8,92;3,00;23,26;0,90;17,20;21,10;4,65;1,80;2,94;1,80;59,49;0,90;8,92;80,27;214,06;35,68;8,92;32,64;0,00;0,00;16,97;95,52;44,44;1,25;2,00;10,00;2,00;15,71;6,38;67,02;0,00;1,00;18,24;21,48;2,00;23,32;17,27
