IBGE;MUNIC;OP4114;OP4115;OP4116;OP4117;OP4118;OP4119;OP4120;OP4121;OP4122;OP4123;OP4124;OP4214;OP4215;OP4216;OP4217;OP4218;OP4219;OP4220;OP4221;OP4222;OP4223;OP4224
1720259;São Salvador do Tocantins;25,46;20,23;25,46;30,03;34,60;39,82;45,69;71,80;89,43;;;43,01;33,60;41,67;45,70;49,73;64,52;76,61;119,62;150,54;;
1720309;São Sebastião do Tocantins;26,21;19,34;21,49;26,64;26,21;24,92;24,50;28,79;30,08;;;28,92;23,66;26,29;33,30;33,30;30,67;29,80;35,06;36,81;;
1720499;São Valério;25,78;22,69;19,59;24,75;25,44;26,47;19,59;21,31;20,63;;;40,82;36,59;33,08;38,71;41,52;44,33;33,08;36,59;35,89;;
1720655;Silvanópolis;20,39;20,71;29,77;29,77;31,07;31,07;23,95;27,18;26,54;;;36,02;33,40;49,12;45,84;48,46;48,46;39,29;39,95;37,33;;
1720804;Sítio Novo do Tocantins;23,17;16,44;58,09;18,48;44,15;36,79;35,54;38,20;38,20;;;37,20;26,80;87,96;30,58;72,19;61,48;58,64;63,05;64,63;;
1720853;Sucupira;41,50;55,67;49,60;51,62;39,47;33,40;35,43;60,73;54,66;;;75,79;103,16;86,32;90,53;69,47;63,16;63,16;107,37;92,63;;
1720903;Taguatinga;19,77;29,60;28,14;30,17;29,04;29,27;32,43;33,79;31,41;;;26,64;41,93;39,61;44,24;42,16;42,85;48,64;47,95;45,40;;
1720937;Taipas do Tocantins;15,45;22,76;20,33;24,39;26,02;1,63;15,45;28,46;4,07;;;29,82;36,84;33,33;40,35;43,86;1,75;26,32;47,37;1,75;;
1720978;Talismã;49,02;53,92;51,47;53,31;55,76;60,66;51,47;61,27;68,63;;;64,52;73,55;72,26;70,97;78,71;91,61;74,84;85,16;101,94;;
1721000;Palmas;216,08;223,84;225,90;240,62;242,47;244,97;270,68;281,74;295,89;;;253,98;261,42;263,48;281,61;283,87;273,64;309,07;323,93;344,88;;
1721109;Tocantínia;7,21;7,77;4,44;13,87;24,69;28,85;29,40;28,02;26,07;;;6,83;7,96;4,55;19,34;35,84;42,09;43,23;40,96;39,82;;
1721208;Tocantinópolis;20,61;17,68;17,23;23,92;24,23;26,33;24,00;25,65;23,92;;;27,59;25,26;25,12;32,09;34,27;36,74;32,67;32,96;32,53;;
1721257;Tupirama;26,89;29,41;16,81;28,57;31,09;31,93;15,97;29,41;31,09;;;35,84;46,59;28,67;44,80;51,97;48,39;28,67;46,59;50,18;;
1721307;Tupiratins;31,35;33,00;33,83;35,48;40,43;42,08;32,18;45,38;43,73;;;54,89;58,32;60,03;63,46;70,33;72,04;60,03;80,62;75,47;;
1722081;Wanderlândia;25,40;26,21;22,81;27,02;26,86;28,64;23,46;26,53;25,24;;;40,97;43,85;37,77;45,13;43,53;45,45;37,77;41,93;41,93;;
1722107;Xambioá;19,19;21,82;23,68;27,55;27,24;26,31;18,42;24,30;28,63;;;22,59;25,64;28,69;36,94;34,19;29,91;21,06;29,00;33,88;;
2100055;Açailândia;24,45;22,95;23,79;25,43;32,76;35,43;35,41;39,24;42,16;;;26,31;27,68;29,36;33,10;42,27;44,67;43,58;49,25;52,96;;
2100204;Alcântara;32,71;27,25;34,74;32,45;51,67;50,35;0,79;24,34;26,10;;;48,39;43,99;49,97;45,05;67,57;67,22;0,70;16,01;17,42;;
2100402;Altamira do Maranhão;45,93;53,50;45,67;64,98;62,89;46,45;62,89;63,41;63,41;;;67,40;78,37;65,83;89,86;85,68;67,40;87,77;88,30;89,86;;
2100436;Alto Alegre do Maranhão;2,11;2,26;3,23;2,41;7,22;20,16;14,59;52,66;31,22;;;1,73;2,30;3,45;2,16;9,21;29,50;20,43;73,97;41,16;;
2100477;Alto Alegre do Pindaré;38,21;37,92;0,43;25,90;37,26;55,21;39,36;54,12;55,64;;;34,55;48,88;0,43;32,54;45,30;68,66;47,74;66,23;66,80;;
2100501;Alto Parnaíba;25,26;23,02;27,33;36,29;35,97;38,20;34,21;41,88;48,91;;;41,43;38,40;45,13;58,61;56,92;61,97;55,57;65,34;76,12;;
2100550;Amapá do Maranhão;24,91;24,64;36,28;26,54;32,49;30,06;31,14;32,49;45,22;;;35,83;35,28;50,72;37,49;43,55;41,90;42,45;44,10;55,68;;
2100600;Amarante do Maranhão;23,66;17,88;18,58;22,63;36,46;33,76;27,87;26,25;2,11;;;36,56;26,89;27,67;33,00;49,11;44,89;39,78;36,00;1,33;;
2100709;Anajatuba;16,21;18,99;18,09;17,24;16,60;16,79;16,66;22,36;22,04;;;22,61;27,32;26,27;24,57;23,53;23,92;23,40;32,15;32,41;;
2100832;Apicum-Açu;16,36;15,56;0,81;18,08;17,88;17,78;25,25;27,47;36,87;;;21,93;20,67;1,25;25,68;25,27;25,27;36,54;39,67;50,53;;
2100873;Araguanã;8,04;0,64;9,32;13,66;13,82;13,34;14,47;17,84;18,33;;;12,67;0,65;14,94;22,73;22,41;22,09;23,06;29,56;30,53;;
2100956;Arame;11,71;15,54;5,62;1,80;5,46;6,71;9,37;49,03;45,28;;;14,45;19,10;7,87;2,57;7,87;9,63;12,84;65,81;63,40;;
2101004;Arari;34,00;30,67;28,98;34,62;33,83;35,75;36,88;53,23;41,89;;;57,07;50,57;46,28;55,31;52,23;55,42;57,96;81,86;63,79;;
2101103;Axixá;31,19;35,46;32,22;30,90;36,34;30,75;31,19;57,82;41,78;;;51,13;57,98;51,99;49,99;56,84;50,27;51,13;91,40;65,41;;
2101202;Bacabal;14,13;15,08;16,03;16,92;17,47;17,11;17,18;17,36;18,63;;;16,80;18,14;18,78;19,94;20,49;20,06;20,10;20,74;22,47;;
2101251;Bacabeira;31,36;31,56;24,84;25,46;24,73;24,84;24,42;24,01;24,32;;;41,89;44,12;34,81;36,03;34,81;34,81;34,00;32,58;33,80;;
2101301;Bacuri;0,63;0,31;0,42;36,68;35,74;43,99;48,28;40,33;55,59;;;0,63;0,42;0,63;57,95;56,49;68,58;75,46;64,00;84,01;;
2101350;Bacurituba;24,84;31,59;28,21;32,51;33,73;32,51;26,99;38,64;47,22;;;34,18;43,67;41,77;45,57;46,20;46,84;39,87;56,96;70,89;;
2101400;Balsas;51,30;47,27;52,78;56,28;62,04;66,61;69,17;74,82;73,62;;;71,10;66,09;72,45;76,73;83,57;90,77;94,73;102,79;100,50;;
2101608;Barra do Corda;4,93;13,72;14,22;18,84;38,01;40,71;37,26;6,70;57,26;;;6,17;16,60;17,78;23,46;55,84;59,90;54,50;8,12;83,64;;
2101772;Bela Vista do Maranhão;14,43;15,20;15,82;17,06;22,96;24,20;29,63;29,47;2,64;;;19,82;21,62;22,82;24,32;34,23;35,44;41,14;41,44;3,00;;
2101806;Benedito Leite;25,05;24,46;22,69;21,51;21,22;52,76;53,05;52,17;58,65;;;41,29;38,25;35,82;34,00;32,79;87,43;85,00;83,79;89,86;;
2101905;Bequimão;0,24;16,61;0,48;16,29;25,56;24,44;27,16;24,12;41,77;;;0,32;26,81;0,64;26,16;39,33;39,00;41,89;38,20;62,44;;
2101939;Bernardo do Mearim;3,95;5,65;5,37;3,95;4,52;8,47;9,04;32,20;34,18;;;5,68;7,95;8,52;5,68;6,81;7,95;9,09;36,34;43,73;;
2101970;Boa Vista do Gurupi;30,68;19,93;30,41;47,19;36,97;42,21;38,54;40,38;40,38;;;45,19;29,09;43,12;70,13;52,99;60,78;57,14;59,22;59,74;;
2102002;Bom Jardim;9,87;20,01;26,29;37,95;40,19;41,15;45,85;40,75;39,91;;;12,69;23,94;33,07;47,21;48,66;51,11;57,23;50,89;50,89;;
2102036;Bom Jesus das Selvas;10,30;10,78;7,50;3,21;7,84;2,05;25,24;11,53;24,83;;;13,81;14,80;10,57;2,96;8,74;2,26;32,84;14,24;30,31;;
2102077;Bom Lugar;9,49;10,61;10,89;0,28;29,73;27,77;0,14;31,68;32,24;;;14,13;14,98;15,55;0,57;40,14;38,16;0,00;42,11;42,40;;
2102150;Brejo de Areia;18,78;19,18;0,61;30,69;36,95;36,34;36,14;35,94;83,18;;;30,32;30,74;0,42;48,00;60,21;60,63;60,63;60,21;138,11;;
2102309;Buriti Bravo;7,46;12,81;1,10;16,74;1,49;16,58;18,70;25,61;29,86;;;11,69;18,92;0,92;24,30;1,54;23,22;27,99;39,22;46,75;;
2102325;Buriticupu;11,73;14,94;16,73;17,76;19,04;24,91;25,77;28,53;31,91;;;15,34;19,74;22,58;24,06;25,28;34,20;35,69;38,32;42,11;;
2102358;Buritirana;25,94;27,55;26,74;26,07;25,27;0,40;26,61;27,28;0,81;;;34,27;37,22;36,41;35,34;34,27;0,54;36,14;37,48;0,80;;
2102374;Cachoeira Grande;32,26;53,18;45,81;30,47;31,07;44,61;30,67;43,62;0,80;;;48,05;75,15;67,76;49,28;43,94;67,35;43,12;2,05;0,41;;
2102408;Cajapió;14,15;13,30;17,05;20,97;20,63;20,12;18,58;21,14;37,68;;;19,36;18,33;23,51;28,70;27,66;26,63;25,24;27,32;54,98;;
2102507;Cajari;4,31;5,42;5,64;6,85;7,52;6,96;5,97;16,47;6,52;;;4,89;6,45;6,45;7,78;8,23;7,56;6,67;21,12;7,78;;
2102556;Campestre do Maranhão;33,32;44,57;40,07;42,04;37,96;42,60;34,03;43,73;37,82;;;48,30;62,90;54,76;57,29;53,07;60,94;47,18;58,41;51,39;;
2102606;Cândido Mendes;21,95;21,22;20,95;21,04;20,05;20,05;19,42;34,23;32,15;;;34,96;33,08;33,08;33,08;31,57;31,95;31,01;53,37;51,12;;
2102705;Cantanhede;22,88;23,79;22,73;30,54;30,92;28,95;25,31;27,28;34,93;;;33,64;34,86;33,80;44,91;43,54;40,34;36,99;38,51;48,71;;
2102754;Capinzal do Norte;0,74;0,60;0,89;14,74;15,63;17,57;18,02;1,34;36,93;;;0,59;0,59;0,88;22,91;23,79;26,73;26,43;0,88;53,74;;
2102804;Carolina;25,36;34,19;32,10;34,60;36,13;34,12;27,58;28,28;37,87;;;37,30;51,12;49,05;50,70;53,19;50,29;42,55;41,59;54,99;;
2102903;Carutapera;40,46;23,15;23,68;29,52;33,50;36,04;28,92;41,44;39,64;;;41,31;23,69;29,61;35,99;40,55;44,34;36,14;52,70;49,20;;
2103109;Cedral;18,29;17,98;18,13;21,42;21,10;29,70;29,08;33,77;29,70;;;27,58;27,58;26,94;34,87;33,91;45,01;43,11;52,30;45,01;;
2103125;Central do Maranhão;0,25;0,25;0,25;8,05;15,35;18,62;1,26;29,19;71,72;;;0,00;0,00;0,00;10,60;21,20;25,24;0,50;41,39;117,11;;
2103158;Centro do Guilherme;4,87;4,20;4,53;5,71;5,37;5,04;4,70;17,97;9,91;;;5,15;4,12;3,78;6,53;7,22;7,22;5,50;21,31;11,34;;
2103174;Centro Novo do Maranhão;16,74;17,62;16,99;37,11;44,73;40,86;39,49;80,34;73,22;;;25,25;26,56;25,77;49,99;59,62;55,98;53,11;112,47;102,84;;
2103257;Cidelândia;24,77;25,58;31,63;32,44;33,65;31,50;31,50;31,23;36,21;;;37,81;39,45;44,61;47,06;47,88;46,52;46,52;45,43;52,23;;
2103307;Codó;18,87;23,99;25,38;35,41;36,35;37,59;28,09;44,34;36,47;;;24,71;31,73;32,50;47,92;48,73;50,50;38,01;59,22;48,30;;
2103505;Colinas;16,62;18,46;19,20;19,82;20,56;21,13;26,69;29,57;31,89;;;28,78;29,79;31,31;31,90;32,49;32,83;41,78;45,07;49,12;;
2103554;Conceição do Lago-Açu;14,72;15,36;9,81;52,68;52,03;49,71;49,58;50,48;51,00;;;20,38;20,38;12,97;75,42;75,15;74,62;75,15;75,95;75,95;;
2103604;Coroatá;20,93;21,86;24,89;22,88;23,20;24,66;28,97;36,38;51,15;;;28,97;29,86;34,11;29,36;31,48;34,61;38,74;48,95;67,49;;
2103703;Cururupu;5,22;6,00;6,68;26,71;27,24;25,77;25,46;3,23;55,72;;;6,63;7,57;7,67;39,18;39,70;37,21;36,38;3,01;67,59;;
2103752;Davinópolis;11,46;16,64;29,55;31,23;33,77;35,46;48,84;39,19;118,55;;;16,16;23,15;35,46;38,83;42,69;43,42;64,88;48,00;123,97;;
2103802;Dom Pedro;4,33;5,48;5,19;5,05;33,38;34,75;34,46;49,46;38,14;;;4,39;6,44;6,03;4,93;43,31;43,99;43,44;61,94;53,72;;
2104008;Esperantinópolis;47,42;45,96;46,78;54,81;46,87;44,23;39,03;41,77;39,67;;;66,63;63,96;65,74;72,87;63,07;61,29;53,80;57,19;53,98;;
