IBGE;MUNIC;NHB41A14;NHB41A15;NHB41A16;NHB41A17;NHB41A18;NHB41A19;NHB41A20;NHB41A21;NHB41A22;NHB41A23;NHB42A14;NHB42A15;NHB42A16;NHB42A17;NHB42A18;NHB42A19;NHB42A20;NHB42A21;NHB42A22;NHB42A23;NHB4314;NHB4315;NHB4316;NHB4317;NHB4318;NHB4319;NHB4320;NHB4321;NHB4322;NHB4323
1502806;Curralinho;9,69;0,00;9,69;0,00;0,00;19,37;9,69;29,06;19,37;38,74;9,50;3,10;6,08;2,99;0,00;8,71;8,57;11,26;17,70;20,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,85;0,00;0,00
1502855;Curuá;0,00;0,00;0,00;0,00;25,77;0,00;0,00;25,77;0,00;0,00;0,00;0,00;0,00;7,14;7,04;0,00;0,00;20,30;0,00;0,00;42,50;0,00;7,08;7,08;21,25;14,17;14,17;14,17;7,08;7,08
1502905;Curuçá;38,56;28,92;28,92;106,04;134,97;86,76;125,33;19,28;28,92;86,76;18,82;15,87;18,23;56,47;48,05;37,44;49,28;9,73;24,79;34,70;2,42;7,27;4,85;19,39;12,12;7,27;19,39;12,12;7,27;16,96
1502939;Dom Eliseu;57,29;50,93;63,66;76,39;50,93;31,83;50,93;50,93;19,10;76,39;36,03;30,14;34,93;37,88;30,53;18,42;31,42;24,51;15,39;30,78;20,52;32,49;27,36;20,52;25,65;11,97;22,23;23,94;17,10;18,81
1502954;Eldorado do Carajás;112,17;182,28;126,19;140,21;28,04;42,06;140,21;84,13;28,04;0,00;55,31;64,29;67,11;63,85;47,51;44,37;64,82;55,77;39,02;28,38;39,02;95,77;53,21;53,21;39,02;35,47;31,92;56,75;74,49;39,02
1503002;Faro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,66;13,90;0,00;0,00;11,46;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,46;0,00;0,00
1503044;Floresta do Araguaia;44,01;22,01;66,02;66,02;462,15;110,04;352,11;220,07;66,02;110,04;15,79;31,15;35,88;30,39;149,40;93,58;146,16;125,35;33,52;44,70;55,87;16,76;55,87;67,05;33,52;33,52;55,87;22,35;16,76;33,52
1503077;Garrafão do Norte;59,16;88,74;88,74;103,53;147,91;88,74;44,37;88,74;44,37;44,37;35,56;47,38;47,35;74,91;69,18;49,87;11,49;30,59;32,38;32,38;44,53;48,58;60,72;32,38;8,10;20,24;16,19;24,29;28,34;24,29
1503093;Goianésia do Pará;109,00;46,71;31,14;77,86;155,71;93,43;0,00;77,86;186,86;93,43;72,49;31,60;36,20;40,66;45,16;42,00;21,91;26,39;83,71;53,27;83,45;41,73;49,31;37,93;37,93;45,52;37,93;41,73;18,97;60,69
1503101;Gurupá;0,00;20,64;10,32;10,32;30,97;0,00;0,00;0,00;0,00;0,00;12,83;9,49;6,24;6,16;12,12;5,99;5,93;2,93;6,29;3,15;0,00;6,29;6,29;0,00;6,29;0,00;6,29;6,29;9,44;9,44
1503200;Igarapé-Açu;11,20;67,17;67,17;44,78;179,13;11,20;55,98;11,20;78,37;33,59;29,64;18,75;26,63;18,54;54,42;5,15;20,50;28,04;50,28;19,55;16,76;19,55;13,97;19,55;19,55;13,97;25,14;16,76;22,35;33,52
1503309;Igarapé-Miri;159,00;119,25;164,68;107,89;159,00;68,14;90,86;130,61;141,96;96,54;61,67;46,40;60,98;59,02;60,94;23,92;30,14;53,66;67,87;37,02;3,08;1,54;9,25;3,08;6,17;1,54;4,63;1,54;16,97;7,71
1503408;Inhangapi;38,23;38,23;38,23;114,68;267,58;152,91;76,45;0,00;114,68;38,23;18,39;9,05;35,64;43,91;86,51;34,16;25,29;16,65;38,74;29,06;0,00;19,37;9,69;9,69;9,69;38,74;9,69;19,37;9,69;19,37
1503507;Irituia;0,00;65,09;39,05;52,07;78,10;104,14;52,07;13,02;26,03;26,03;6,32;25,27;12,63;28,42;24,61;30,72;18,41;15,32;19,38;19,38;3,23;25,84;38,77;38,77;35,54;29,07;51,69;16,15;61,38;25,84
