,AGE,GENDER,STATE,EDUC,MARRIED,JOB,INC,PEOPLE,PINC,CEREAL,ROOT,VEGAN,FRUITS,MEAT,EGGS,MILK,OIL,SUGAR,WELL,CWELL,PWELL,ORG,CORG,PORG,GARDEN,CGARDEN,PGARDEN,VEG,CVEG,PVEG,GARDV1,GARDV2,GARDV3,GARDV4,GARDV5,NGARD,FGARD,INDEXV,INDEXN,VEGROOT,MEETEGG,DEPRATIO
127,30.0,0.0,BA,16.0,0.0,1.0,4500.0,4.0,4.0,4.0,3.0,5.0,5.0,7.0,7.0,7.0,7.0,3.0,5.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,101.0,3,7.0,7.0,0.0
128,30.0,1.0,BA,16.0,1.0,1.0,13500.0,2.0,2.0,7.0,5.0,7.0,7.0,7.0,7.0,4.0,2.0,7.0,1.0,4.0,2.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,89.0,3,7.0,7.0,0.0
129,33.0,1.0,CE,14.0,1.0,1.0,2500.0,2.0,2.0,7.0,2.0,5.0,6.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,85.0,3,7.0,7.0,0.0
130,43.0,1.0,CE,16.0,0.0,1.0,4500.0,3.0,2.0,2.0,1.0,7.0,7.0,7.0,4.0,7.0,7.0,1.0,0.0,4.0,2.0,5.0,5.0,3.0,5.0,4.0,3.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,97.5,3,3.0,7.0,0.3333333333333333
131,45.0,0.0,CE,16.0,1.0,1.0,2500.0,3.0,3.0,7.0,5.0,7.0,7.0,7.0,7.0,4.0,3.0,1.0,3.0,2.0,1.0,4.0,4.0,2.0,5.0,4.0,5.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,91.0,3,7.0,7.0,0.0
132,37.0,1.0,PE,16.0,0.0,1.0,27500.0,4.0,2.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,2.0,3.0,5.0,4.0,5.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,108.0,3,7.0,7.0,0.5
133,30.0,0.0,CE,12.0,0.0,0.0,1500.0,3.0,1.0,5.0,0.0,3.0,2.0,5.0,3.0,5.0,2.0,7.0,7.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,3,5.0,7.0,0.6666666666666666
134,37.0,1.0,PE,16.0,0.0,1.0,10000.0,4.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,111.0,3,7.0,7.0,0.5
135,22.0,0.0,CE,12.0,1.0,1.0,2500.0,3.0,2.0,7.0,2.0,3.0,4.0,6.0,7.0,0.0,5.0,4.0,2.0,2.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,84.0,3,7.0,7.0,0.3333333333333333
136,53.0,1.0,CE,16.0,0.0,1.0,4500.0,3.0,3.0,7.0,2.0,0.0,2.0,3.0,7.0,2.0,7.0,0.0,5.0,4.0,4.0,5.0,5.0,2.0,4.0,5.0,2.0,5.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,77.5,3,7.0,7.0,0.0
