;AGRO;IEXT;ITRA;IELE;ICON;SCON;STRA;SINF;SFIN;SIMO;SOSE;SADM;VA;IMP;PIB;CFAM;CGOV;FBC;EXP;IMPOR;RPRIM
2014.I;21085,811384;2175,951508;32065,840809;6314,059981;19442,929399;22753,808316;8679,636040;11228,319383;34480,705850;29128,051721;37107,653028;38947,706033;259973,696506;45634,568317;306130,522157;203075,252585;53514,683388;68397,050346;31576,495993;45383,067297;-2100,260
2014.II;19500,141886;2317,495853;32457,251840;5936,752501;18831,982081;22675,828784;8814,496088;11444,794863;34420,736583;28933,763624;37898,523725;39870,661525;260885,860876;45631,763814;307046,350641;203223,851404;55795,382366;66334,973136;37152,625748;46409,462107;-197,240
2014.III;17446,979706;2486,185327;35424,392034;5867,412187;18376,335799;23760,233878;9391,218444;11549,482469;34412,954036;28914,348246;38493,643806;39833,239189;265470,852406;46892,856573;312888,661937;206858,453540;56071,100913;67539,993709;39448,097304;49970,711258;227,067
2014.IV;12575,055709;2540,879188;33016,257429;6159,290533;18321,739708;24132,027498;9246,395164;12249,568709;35289,418858;29338,557627;39119,139227;39534,583503;261935,256165;47981,758321;310386,217714;216829,157228;56796,088506;65846,858339;34719,924374;46647,928982;-460,455
2015.I;22590,973687;2456,610745;30066,608459;5996,706720;17556,221350;21837,630358;8482,884448;11555,898881;34219,621184;29085,856628;36392,949705;39127,633665;256145,390977;44452,214393;301172,956565;201796,758498;53311,378845;61943,590807;32882,219180;42971,077369;-1225,782
2015.II;20376,130934;2517,933145;30377,059515;5889,699610;16810,376505;21406,900402;8535,428134;11350,594991;34031,938782;28826,192676;36776,139323;39779,564420;254420,417471;43599,623784;298632,069910;198798,550081;54885,691279;58205,859901;40424,184810;41258,092714;-5569,816
2015.III;17408,811553;2611,640157;31940,266932;6031,344666;17128,918160;21759,693762;8931,072730;11311,789137;33909,720466;28843,148659;36503,737069;39976,705002;255338,730848;43585,139181;299550,704712;198758,294519;55073,070029;57462,179296;40290,025405;40059,313415;-1053,395
2015.IV;12572,255270;2476,665790;29298,802639;6264,436688;16726,516776;21501,868488;8619,898835;11814,820911;34768,050494;29115,863964;37268,492365;39685,547978;249339,940341;43360,942106;293254,367497;203936,649335;55715,387222;53114,045977;39045,676088;37385,941265;-980,294
2016.I;20865,589475;2279,287302;27216,145929;6375,772589;15933,281503;19567,045444;7969,007565;11087,781063;33428,166457;29066,483969;35502,548397;39276,044656;244612,134601;40437,934084;285698,238724;190467,304426;53237,492611;50334,667706;36872,413682;33649,690543;-3452,766
2016.II;19294,829978;2418,279689;29022,900169;6499,652291;15426,114303;19879,605148;8172,602930;11129,434878;32965,193276;28953,317494;36081,836965;40113,441186;247411,483060;40956,311762;289020,879281;189890,133037;55179,135817;51971,816894;41485,062752;36864,024014;-3126,936
2016.III;16639,446220;2624,594319;31046,618768;6377,529364;15413,571414;20653,834578;8386,301375;11327,929691;32504,518324;28846,475677;36502,621823;40139,822157;249771,558675;41788,182054;292199,193399;193065,815354;55051,055409;51376,556918;39883,273876;37276,618775;-1007,937
2016.IV;12337,334466;2617,960875;28596,428819;6494,225363;14637,648080;20673,841790;8110,834195;11551,885934;33353,882494;29199,186842;36896,704028;39448,211083;244005,722490;42047,562360;286622,871488;199043,151678;55979,905349;49056,010440;35718,848190;37162,214312;-1888,235
