"sernum","miscat","percfunc","percnegfunc","percposfunc","percnofunc","cogseleva","mmUPFscons","snkUPFscons","propUPFscons","rihnutr","bdyshp","tstgdivtaro","rdytoeat","chp","esyacce","othreas","reassum","age","gender","edu","mrysta","occu","wrksty","wltock","ckskl","housdispinc","child","adol","adul","elder","freqck","freqtakout","supwhlmrk","locmrk","olgroc","homgro","rsttakout","cant","othpur","ovwob","region","ctyctry"
19,0,4,3,1,0,3,2,3,19,0,0,1,1,0,1,0,3,45,2,7,2,6,9,2,1,7,1,1,2,2,4,2,1,1,1,0,0,0,0,1,1,1
20,2,2,2,0,0,3,2,3,24,0,0,1,1,0,0,0,2,37,2,7,2,6,37,1,1,5,2,0,2,3,3,2,1,1,0,0,0,0,0,2,3,1
21,0,1,0,1,0,3,2,2,40,0,0,1,0,0,0,0,1,29,1,8,1,6,12,1,1,5,0,0,4,0,5,2,0,1,0,0,0,0,0,1,3,1
22,5,2,2,0,0,2,2,2,19,0,0,0,1,0,0,0,1,36,1,7,2,6,10,2,1,6,1,0,2,0,4,2,1,0,1,0,0,0,0,2,1,1
23,0,2,2,0,0,3,3,2,48,0,0,1,1,0,1,0,3,30,1,8,1,6,5,1,1,3,0,0,3,1,4,1,1,1,0,0,1,0,0,1,1,1
24,2,2,2,0,0,3,3,2,44,0,0,1,0,0,0,0,1,26,2,7,2,6,10,2,1,5,0,0,2,2,2,2,1,0,1,0,0,0,0,1,1,1
25,3,2,2,0,0,2,2,2,24,0,0,1,1,0,1,0,3,37,2,7,2,6,8,2,1,7,1,0,2,2,3,2,1,0,0,0,1,0,0,1,1,1
26,2,4,3,1,0,2,5,5,21,0,1,0,0,0,0,0,1,36,2,7,1,6,9,1,1,5,0,0,1,2,5,2,1,1,1,0,0,0,0,2,1,1
27,0,2,2,0,0,3,2,2,7,0,0,0,0,0,1,1,2,37,2,7,2,6,7,1,1,4,2,0,2,2,3,2,1,1,0,0,0,0,0,1,3,1
28,3,2,2,0,0,3,2,2,22,0,0,1,0,0,0,0,1,46,2,5,2,6,10,1,1,2,0,1,5,1,5,1,0,1,0,0,0,0,0,1,1,2
29,3,2,2,0,0,3,4,4,42,0,0,0,1,0,1,0,2,27,2,6,1,6,10,2,1,3,0,0,4,0,5,3,1,1,1,0,1,0,0,1,1,1
30,3,4,3,1,0,2,2,1,22,1,0,0,1,0,1,0,3,27,1,7,1,6,7,1,1,4,0,0,1,0,3,1,0,0,1,0,0,0,0,2,1,1
31,0,3,3,0,0,3,2,2,10,0,0,1,0,0,1,0,2,26,2,7,1,6,8,2,2,2,0,0,3,0,4,2,1,1,1,0,0,0,0,2,2,1
32,3,2,2,0,0,2,2,2,21,0,0,0,1,0,1,0,2,25,2,7,1,6,8,1,1,2,0,0,1,0,2,2,1,0,0,0,0,0,0,2,1,1
33,0,2,2,0,0,3,2,2,22,0,0,0,1,1,1,0,3,38,2,7,1,6,8,2,1,5,0,0,3,0,2,2,1,0,1,0,0,0,0,2,1,1
34,0,2,2,0,0,3,2,2,30,0,0,0,1,0,1,0,2,26,2,7,1,6,15,2,2,4,0,0,1,0,2,2,1,0,1,0,0,0,0,2,1,1
35,2,3,3,0,0,3,2,2,43,0,0,0,1,0,0,0,1,31,2,7,1,6,9,2,1,3,0,0,1,0,3,2,1,1,0,0,0,0,0,2,1,1
36,0,1,1,0,0,3,2,2,18,1,0,1,0,0,0,0,2,43,2,7,2,7,6,2,2,4,0,0,2,0,4,2,1,1,1,0,0,0,0,2,3,1
37,1,3,3,0,0,3,5,5,62,0,0,1,0,0,0,0,1,29,2,7,1,6,8,2,2,3,0,0,0,0,1,5,0,0,0,0,1,0,0,1,1,1
38,0,2,2,0,0,3,3,3,51,0,0,0,1,1,1,0,3,37,2,7,2,6,9,2,1,3,1,0,2,0,2,2,1,0,1,0,1,0,0,1,3,1
39,3,3,3,0,0,2,3,3,19,0,0,1,1,0,1,0,3,26,2,7,1,6,50,2,1,5,0,0,3,0,4,2,1,1,1,0,1,1,0,2,3,1
41,0,2,2,0,0,3,2,2,32,0,0,0,1,0,1,0,2,38,2,6,2,6,8,2,1,2,1,0,2,4,2,2,0,0,0,0,1,1,0,2,3,1
