"sernum","miscat","percfunc","percnegfunc","percposfunc","percnofunc","cogseleva","mmUPFscons","snkUPFscons","propUPFscons","rihnutr","bdyshp","tstgdivtaro","rdytoeat","chp","esyacce","othreas","reassum","age","gender","edu","mrysta","occu","wrksty","wltock","ckskl","housdispinc","child","adol","adul","elder","freqck","freqtakout","supwhlmrk","locmrk","olgroc","homgro","rsttakout","cant","othpur","ovwob","region","ctyctry"
580,0,2,1,1,0,3,3,2,16,0,0,1,1,0,0,0,2,19,1,6,1,1,7,2,2,1,0,0,3,0,5,3,1,1,0,0,0,0,0,2,4,2
581,11,2,2,0,0,3,2,2,19,0,0,0,1,0,0,0,1,47,1,5,2,6,7,1,1,1,0,0,3,2,3,1,1,1,0,0,0,0,0,1,1,1
582,0,3,2,1,0,3,2,2,12,0,0,0,1,0,1,0,2,21,2,6,1,1,6,2,1,1,1,0,3,1,5,2,1,0,0,0,0,0,0,1,4,1
583,0,2,2,0,0,4,2,5,0,1,0,0,0,0,0,0,1,19,1,6,1,1,7,2,2,1,0,0,3,0,5,1,1,0,0,0,0,0,0,1,4,2
584,0,1,1,0,0,3,2,2,17,0,0,1,0,0,0,0,1,22,1,6,1,1,6,1,1,1,0,0,3,0,4,2,1,1,0,0,0,0,0,2,4,1
585,0,1,0,0,0,4,5,5,36,0,0,0,0,0,0,1,1,18,1,6,1,1,7,1,1,1,0,0,4,1,5,1,0,0,0,0,0,0,1,2,4,1
586,0,3,3,0,0,4,2,2,21,0,0,1,1,0,0,0,2,20,2,6,1,1,10,2,2,1,0,0,3,0,5,1,1,1,0,0,0,0,0,2,4,1
587,0,3,3,0,0,4,2,2,20,0,0,1,1,0,0,0,2,20,2,6,1,1,16,2,2,1,0,1,3,0,5,1,1,0,0,0,0,0,0,1,1,2
588,0,3,2,1,0,3,3,3,40,1,1,1,1,0,0,0,4,22,1,6,1,1,7,1,1,2,0,0,3,0,5,2,1,0,0,0,0,0,0,2,4,2
591,5,2,2,0,0,3,2,2,22,0,0,0,1,1,1,0,3,19,1,6,1,1,8,2,2,3,0,1,3,0,2,2,1,1,1,1,1,0,0,2,4,2
592,2,2,2,0,0,3,2,2,12,0,0,0,1,0,0,0,1,21,2,6,1,1,8,2,2,1,0,0,3,0,5,2,1,1,0,0,0,0,0,2,4,1
593,0,3,3,0,0,3,2,3,42,0,0,1,1,0,1,0,3,20,2,6,1,1,5,2,1,2,0,0,1,2,2,2,1,1,0,1,1,0,0,1,4,2
594,0,5,3,2,0,3,2,2,22,1,0,0,1,0,1,0,3,19,2,6,1,1,9,2,1,1,0,0,3,0,4,1,1,1,0,0,0,0,0,2,4,1
595,2,3,3,0,0,3,2,2,15,0,0,0,1,1,1,0,3,20,1,6,1,1,7,1,1,1,0,2,2,1,3,2,0,0,1,0,0,0,0,2,4,2
596,0,3,3,0,0,3,2,2,20,1,1,0,0,0,0,0,2,20,2,6,1,1,7,2,2,1,1,0,3,1,2,2,1,0,1,0,1,0,0,2,4,1
598,0,5,3,2,0,4,2,2,40,1,0,1,1,0,1,0,4,19,1,6,1,1,8,1,1,2,0,0,4,0,4,2,1,1,0,0,1,0,0,2,1,1
599,0,3,3,0,0,3,2,2,16,0,0,1,1,1,1,0,4,20,2,6,1,1,7,2,1,1,0,0,3,2,5,2,1,1,0,1,0,0,0,2,4,1
600,0,3,3,0,0,4,2,2,20,0,0,1,1,0,0,0,2,20,2,6,1,1,10,2,2,1,0,0,3,0,5,1,1,1,0,0,0,0,0,2,4,1
601,0,2,2,0,0,2,2,2,50,0,0,0,1,0,1,0,2,20,2,6,1,1,5,1,1,2,0,0,3,0,3,2,1,1,0,0,0,0,0,2,4,1
602,4,3,3,0,0,2,3,2,42,0,1,0,1,0,0,0,2,22,1,6,1,1,8,2,2,2,0,0,2,0,5,2,1,1,0,1,0,0,0,1,4,2
603,0,2,2,0,0,3,2,2,26,0,0,0,1,0,1,0,2,19,1,6,1,1,8,1,1,4,0,0,3,0,3,2,1,1,0,0,0,0,0,1,4,1
604,2,2,1,1,0,3,3,3,34,1,0,0,0,0,0,0,1,21,2,6,1,1,7,1,1,1,0,0,3,2,3,3,0,0,1,0,0,0,0,1,4,2
605,0,3,3,0,0,2,2,2,15,0,0,1,0,0,0,0,1,21,1,6,1,1,12,2,1,2,0,0,3,1,3,1,1,0,0,1,0,0,0,2,4,2
606,0,3,3,0,0,3,3,3,59,0,0,0,1,0,1,0,2,20,2,6,1,1,7,1,1,1,0,0,3,0,2,2,1,0,1,0,1,0,0,2,4,1
607,0,2,2,0,0,4,3,2,83,1,0,0,1,0,1,0,3,46,1,6,2,6,8,1,2,7,1,1,2,1,3,2,1,1,0,0,0,0,0,1,1,1
608,3,2,2,0,0,3,2,2,40,0,0,1,1,1,1,0,4,18,2,6,1,1,9,2,2,2,0,0,3,0,5,2,1,0,0,0,0,0,0,2,4,1
609,4,2,2,0,0,2,2,2,22,0,0,1,0,1,1,0,3,19,2,6,1,1,7,2,2,1,0,0,3,1,4,2,1,1,1,0,0,0,0,2,4,1
611,0,3,3,0,0,2,1,2,27,0,0,0,1,1,1,0,3,19,1,6,1,1,8,2,2,1,0,0,4,2,1,1,1,1,0,1,0,0,0,2,1,2
612,0,3,3,0,0,3,3,2,57,0,0,0,1,1,1,0,3,20,2,6,1,1,7,1,1,1,0,0,3,0,2,1,1,1,0,0,1,0,0,2,4,1
613,4,4,3,0,0,4,2,2,43,0,0,1,1,0,1,0,3,19,2,6,1,1,12,1,1,3,0,1,3,0,3,2,1,1,1,1,1,1,0,2,4,1
614,0,2,2,0,0,3,3,3,40,1,0,1,0,0,0,0,2,19,2,6,1,1,10,2,2,3,0,1,4,2,1,3,1,1,0,1,0,0,0,2,4,1
615,7,2,2,0,0,3,2,2,40,0,0,1,1,1,1,0,4,19,2,6,1,1,9,2,2,4,0,1,3,0,5,2,1,0,1,0,1,0,0,2,4,1
616,4,3,3,0,0,3,3,3,40,1,1,1,0,0,0,0,3,19,1,6,1,1,5,2,2,1,1,0,3,2,2,2,1,1,1,1,1,1,0,2,4,2
617,0,1,0,1,0,3,3,2,41,0,0,0,1,1,0,0,2,21,1,6,1,1,8,2,1,2,0,0,3,2,5,2,0,1,0,0,1,1,0,1,4,2
618,0,3,3,0,0,3,2,2,42,0,0,0,1,1,1,0,3,18,1,6,1,1,20,2,2,1,0,1,2,3,5,2,1,1,0,0,0,0,0,2,4,1
619,1,1,0,1,0,2,3,3,35,0,1,0,0,0,1,0,2,20,1,6,1,1,8,2,2,2,0,0,3,0,1,2,1,1,1,0,0,0,0,1,4,1
620,0,3,3,0,0,3,3,3,71,1,1,1,1,1,1,0,6,20,1,6,1,1,8,1,1,2,0,0,3,0,2,2,1,1,0,0,0,0,0,2,4,1
621,5,4,3,1,0,2,1,1,40,1,0,0,1,0,0,0,2,20,1,6,1,1,8,2,2,1,0,1,1,0,1,1,1,0,0,0,1,0,0,2,4,2
623,0,0,0,0,1,3,2,3,36,0,0,1,1,1,1,0,4,20,1,6,1,1,10,2,1,1,0,0,3,0,5,2,1,1,0,0,0,0,0,1,4,1
624,0,3,3,0,0,2,1,2,0,0,0,0,0,0,0,1,1,20,1,6,1,1,8,2,2,1,0,0,3,0,4,2,1,1,0,1,0,0,0,1,4,2
625,0,1,1,0,0,3,3,3,6,0,0,0,1,0,0,0,1,19,1,6,1,1,7,2,2,3,0,0,4,0,5,1,1,1,0,0,0,0,0,1,4,1
626,0,3,3,0,0,3,2,2,21,0,0,1,1,1,0,0,3,18,2,6,1,1,9,2,1,2,0,2,2,0,1,2,1,1,1,1,1,1,0,2,4,2
627,3,4,3,1,0,2,3,3,40,0,0,1,1,1,1,0,4,20,1,6,1,1,8,2,1,4,0,1,4,1,2,2,1,0,1,0,1,0,0,2,3,1
629,0,2,2,0,0,2,3,2,31,0,0,0,0,0,1,1,2,18,2,6,1,1,8,2,2,1,0,1,3,1,1,1,1,1,1,1,0,0,1,2,4,2
630,0,1,1,0,0,3,4,4,41,0,0,0,1,0,0,0,1,19,2,6,1,1,7,2,2,1,0,0,3,0,1,1,1,0,0,0,0,0,0,1,4,1
631,0,3,3,0,0,2,2,2,26,0,0,1,1,1,1,0,4,20,2,6,1,1,6,1,1,2,0,0,3,0,5,2,1,1,1,1,1,1,0,2,4,1
632,0,0,0,0,1,3,2,2,16,0,0,0,1,0,0,0,1,20,2,4,1,1,10,2,2,1,0,0,4,0,1,1,0,1,0,1,0,0,0,2,4,2
634,0,3,1,2,0,3,3,2,61,0,0,1,1,0,1,0,3,20,2,6,1,1,8,2,1,1,1,0,5,0,5,2,1,1,1,1,1,0,0,2,4,2
635,7,3,3,0,0,1,2,2,28,0,0,1,1,1,0,0,3,22,1,6,1,1,12,2,1,1,0,0,0,0,1,5,0,1,0,0,0,0,0,2,4,1
637,5,1,1,0,0,3,2,2,32,0,0,1,1,0,0,0,2,20,2,6,1,1,7,1,1,1,0,0,4,0,2,2,1,0,0,0,0,0,0,2,4,2
639,3,2,0,2,0,2,2,2,28,0,1,0,0,0,0,0,1,20,1,6,1,1,7,1,1,3,0,1,3,0,2,2,1,1,0,0,0,0,0,1,4,1
640,0,3,3,0,0,3,2,1,17,0,0,0,1,1,0,0,2,20,1,6,1,1,15,2,2,2,0,0,5,0,5,1,1,1,0,1,0,0,0,1,1,2
641,0,3,3,0,0,3,2,2,51,0,0,0,1,0,0,0,1,21,1,6,1,1,6,2,2,2,0,0,3,0,1,2,1,1,0,0,0,0,0,2,4,1
642,1,1,0,0,0,4,5,5,100,0,0,0,0,0,0,1,1,18,1,8,2,7,1,1,1,7,0,0,0,0,5,5,1,0,0,0,0,0,0,1,4,1
643,3,3,3,0,0,3,2,3,46,0,0,0,1,1,1,0,3,20,1,6,1,1,8,2,1,4,0,0,3,1,2,2,1,1,1,0,0,0,0,2,3,1
644,4,3,3,0,0,2,2,2,18,0,0,1,1,1,1,0,4,20,1,6,1,1,8,1,1,3,0,0,3,2,2,2,1,1,1,0,0,0,0,2,4,1
645,2,3,3,0,0,3,2,2,21,0,0,1,0,0,0,0,1,18,2,6,1,1,7,1,2,2,0,1,2,0,5,1,1,1,1,1,0,0,0,2,4,2
646,2,2,0,1,0,3,2,2,20,1,1,0,0,0,0,0,2,19,1,6,1,1,7,1,1,2,0,0,3,1,3,2,1,0,0,1,0,0,0,2,4,2
647,14,2,0,2,0,3,1,1,0,1,1,1,1,1,1,0,6,20,2,6,1,1,10,2,2,1,0,2,2,1,5,1,1,1,1,1,0,0,0,2,4,2
648,1,2,2,0,0,3,2,2,23,0,1,1,0,0,0,0,2,19,2,6,1,1,6,2,2,2,0,0,3,2,2,2,1,0,0,0,0,0,0,2,4,1
649,5,2,0,2,0,2,3,3,20,0,0,0,0,0,1,0,1,20,1,6,1,1,7,2,1,2,0,0,2,0,2,3,0,1,1,0,1,0,0,1,4,1
651,2,1,1,0,0,3,2,3,25,0,0,1,1,1,0,0,3,20,1,6,1,1,12,2,2,1,0,0,2,1,1,3,1,0,1,0,1,0,0,2,4,1
653,3,2,2,0,0,3,3,2,41,0,0,0,1,1,0,0,2,19,2,6,1,1,8,2,1,3,0,1,3,2,5,2,1,1,0,0,1,0,0,1,1,2
654,0,2,2,0,0,3,2,2,0,0,0,0,1,0,0,0,1,22,2,6,1,1,10,1,1,1,0,0,3,0,5,1,1,0,0,0,1,0,0,2,4,2
655,1,2,2,0,0,3,2,2,41,0,0,0,0,0,0,1,1,19,2,6,1,1,7,2,1,2,0,1,1,2,3,2,0,1,0,0,0,0,0,1,4,1
656,1,1,1,0,0,2,2,2,31,0,0,1,1,0,1,0,3,22,1,6,1,1,8,1,1,2,0,0,3,2,3,2,1,0,1,1,1,0,0,1,4,1
657,0,3,3,0,0,3,2,2,23,0,0,0,0,0,1,0,1,18,1,6,1,1,7,2,2,3,0,0,4,0,3,1,1,1,0,0,0,0,0,2,4,1
658,2,3,3,0,0,3,2,2,20,0,0,0,1,0,0,0,1,19,2,6,1,1,9,2,2,2,0,0,4,1,5,2,1,0,1,1,1,0,0,2,4,2
659,0,3,3,0,0,2,4,4,29,0,0,1,0,0,0,0,1,20,1,6,1,1,7,2,1,4,0,0,3,0,5,2,0,1,0,1,0,0,0,2,4,2
660,2,1,1,0,0,3,2,3,19,1,1,0,1,1,0,0,4,21,1,6,1,1,6,1,2,3,0,0,3,2,3,2,1,0,0,0,0,0,0,2,4,1
661,3,2,1,1,0,3,3,4,22,1,0,0,0,0,0,0,1,18,1,6,1,1,15,1,1,4,0,0,4,0,2,3,1,0,0,0,0,0,0,2,4,1
662,3,3,3,0,0,3,2,2,28,1,1,1,0,0,0,0,3,21,2,6,1,1,5,1,1,3,0,0,3,0,2,2,0,1,0,1,0,0,0,2,4,2
663,0,5,3,2,0,3,1,2,15,0,1,1,1,0,0,0,3,20,1,6,1,1,6,2,1,3,0,0,3,0,5,2,1,1,0,0,1,1,0,2,1,1
664,0,3,2,1,0,3,2,3,50,1,1,1,1,0,0,0,4,19,2,6,1,1,8,1,2,2,0,0,3,0,4,3,1,1,0,0,0,0,0,2,4,1
665,0,3,3,0,0,2,2,2,28,0,0,1,1,0,1,0,3,20,1,6,1,1,6,2,1,1,1,0,2,0,2,1,1,1,0,0,0,0,0,1,1,1
666,0,3,3,0,0,3,2,2,20,0,0,1,1,0,0,0,2,20,2,6,1,1,7,2,2,2,0,2,3,1,5,1,1,1,0,1,0,0,0,2,2,1
668,0,4,3,1,0,3,5,5,50,1,0,1,1,0,1,0,4,50,1,6,2,6,8,1,1,5,0,1,2,0,2,5,1,1,0,0,1,0,0,2,4,1
670,2,3,3,0,0,2,2,1,30,0,0,1,1,0,0,0,2,24,1,6,1,6,8,2,2,1,0,0,1,0,1,3,0,0,1,0,1,0,0,1,1,1
672,0,2,2,0,0,3,1,2,5,0,0,1,1,0,0,0,2,53,1,6,2,7,6,1,1,4,0,2,2,1,2,2,1,1,1,0,0,0,0,2,1,1
674,0,3,1,2,0,3,2,5,54,0,0,1,1,1,0,0,3,27,2,7,1,6,8,2,2,4,0,0,3,0,4,1,1,1,0,0,0,1,0,2,1,1
675,2,3,3,0,0,3,3,3,22,0,0,1,1,1,1,0,4,20,2,6,1,1,10,1,1,3,0,0,3,2,2,3,1,1,0,0,0,0,0,2,4,1
676,0,0,0,0,1,3,5,2,97,0,0,0,1,0,1,0,2,50,1,5,2,6,3,1,1,3,0,1,2,1,5,2,1,0,1,0,1,1,0,1,2,1
677,1,3,2,1,0,3,2,3,71,0,0,1,1,1,1,0,4,24,1,7,1,6,8,2,2,5,0,0,1,0,1,3,0,0,1,0,1,1,0,2,1,1
678,0,2,0,2,0,3,2,2,10,1,0,1,1,0,1,0,4,30,1,5,1,6,8,2,2,2,0,0,4,2,3,2,1,1,0,0,0,0,0,2,4,1
679,0,2,2,0,0,3,4,5,80,0,0,1,1,0,0,0,2,27,1,7,1,6,40,2,1,5,0,0,2,0,2,3,1,1,0,0,0,0,0,1,1,1
681,1,1,0,1,0,2,5,4,66,0,0,1,0,0,0,0,1,25,2,2,1,1,10,1,2,4,0,0,0,0,5,2,0,1,0,0,0,0,0,2,1,1
682,4,4,3,1,0,2,3,3,60,0,0,1,1,1,1,0,4,18,1,6,1,1,6,2,2,1,0,1,2,1,1,1,1,1,0,0,0,0,0,2,2,1
683,0,3,2,1,0,3,2,2,21,0,0,1,1,0,1,0,3,24,2,7,1,6,7,1,1,2,0,0,3,1,4,2,1,1,0,1,0,1,0,2,1,1
684,0,0,0,0,1,3,2,2,42,1,0,0,0,0,0,0,1,41,1,6,2,6,8,1,1,4,0,1,2,0,2,2,0,1,0,0,0,0,0,2,1,1
685,1,2,2,0,0,3,2,2,15,0,0,0,1,0,1,0,2,25,1,7,1,6,8,2,2,2,0,0,4,2,5,2,0,0,1,0,0,0,0,2,1,2
686,5,1,0,1,0,3,4,4,40,1,0,0,0,0,0,0,1,18,1,6,1,1,7,1,1,5,0,1,3,1,3,3,1,0,0,0,0,0,0,2,4,1
687,3,2,0,2,0,2,2,2,22,0,0,1,1,0,1,0,3,39,1,6,2,6,8,1,2,4,0,0,2,1,2,2,1,0,1,0,0,0,0,1,1,1
688,1,1,0,1,0,2,2,2,6,0,0,0,1,0,0,0,1,37,1,6,1,7,8,2,2,1,0,0,1,0,2,2,1,0,0,0,0,0,0,2,1,1
689,0,3,3,0,0,3,2,3,19,1,1,1,0,0,1,0,4,23,1,7,1,1,8,1,1,3,0,0,3,0,5,2,0,0,0,1,0,0,0,2,4,2
690,2,4,3,0,0,2,2,1,24,0,0,0,1,0,0,0,1,64,2,4,2,4,6,1,1,2,0,0,0,2,5,2,0,1,0,1,0,0,0,1,1,1
691,0,3,3,0,0,3,2,2,43,0,1,1,1,1,1,0,5,24,2,7,1,6,10,2,1,4,0,0,2,0,1,5,0,0,1,0,1,0,0,2,1,1
692,2,2,2,0,0,2,2,2,6,0,0,0,0,0,0,1,1,20,1,6,1,1,8,2,1,7,0,0,3,2,4,1,1,0,0,0,0,0,0,1,4,1
695,0,2,2,0,0,3,3,2,42,0,0,1,1,1,1,0,4,45,1,7,2,6,8,1,1,2,0,0,3,2,2,2,0,1,0,0,0,1,0,1,4,1
696,0,3,3,0,0,2,3,2,36,0,0,1,0,0,0,1,2,45,1,6,2,7,10,2,1,3,0,1,2,2,2,2,1,1,0,0,0,0,0,2,1,1
698,4,3,3,0,0,3,2,2,36,0,0,1,1,0,0,0,2,38,2,5,2,6,7,1,1,1,0,1,1,4,4,2,1,1,1,1,1,0,0,1,4,2
699,0,2,2,0,0,3,2,2,63,0,0,0,0,0,0,1,1,30,2,3,2,4,12,1,1,3,1,0,2,2,4,2,0,1,0,0,0,0,0,1,4,1
700,2,5,3,2,0,3,2,2,30,1,1,1,1,1,0,0,5,46,1,4,2,7,8,2,2,2,0,1,1,2,2,2,1,1,1,0,0,1,0,1,4,1
701,1,0,0,0,1,3,3,3,50,0,0,1,1,0,1,0,3,23,1,7,1,1,9,2,2,5,0,0,3,8,2,3,1,1,0,0,0,0,0,1,1,1
702,0,2,2,0,0,2,1,1,20,0,0,0,0,0,0,1,1,58,1,4,2,2,2,1,1,1,0,0,2,0,5,1,0,1,0,0,0,0,0,2,4,1
703,8,3,2,1,0,3,1,1,22,0,0,1,0,1,0,0,2,60,2,5,2,3,2,1,1,1,0,3,4,2,5,1,0,0,0,0,0,0,1,1,1,1
704,6,3,3,0,0,3,1,2,40,0,0,1,1,0,1,0,3,19,2,6,1,1,10,2,1,2,0,0,3,2,5,1,1,0,0,1,0,0,0,2,4,1
705,0,2,0,1,0,3,1,2,20,0,0,0,1,0,0,1,2,58,2,5,2,6,10,1,1,3,0,0,2,1,5,1,1,1,0,0,0,0,0,2,4,1
708,2,2,1,1,0,3,5,3,20,1,0,1,0,0,0,0,2,22,2,5,1,6,6,1,1,1,0,0,4,2,1,3,1,0,0,0,0,0,0,2,4,2
709,0,2,0,1,0,3,1,1,0,0,0,0,1,0,1,1,3,56,2,5,2,6,8,1,1,3,0,0,2,2,5,1,1,1,0,0,0,0,0,2,4,1
711,1,1,1,0,0,3,2,2,60,0,0,0,1,0,0,0,1,30,2,5,1,6,7,1,1,2,0,0,5,1,3,1,1,0,0,0,0,0,0,2,4,1
712,0,4,3,0,0,2,2,2,10,0,0,0,0,0,1,0,1,40,2,6,2,6,7,1,1,1,0,1,2,1,5,2,1,1,0,1,0,0,0,2,4,1
713,3,3,3,0,0,1,2,2,19,0,0,1,1,1,0,0,3,18,1,2,1,1,14,2,2,1,0,1,2,0,1,2,1,0,1,0,0,0,0,2,4,1
714,0,2,0,1,0,3,1,2,22,0,0,0,1,0,0,0,1,58,2,5,2,6,10,1,1,4,0,0,0,0,5,1,0,1,0,1,0,0,0,1,4,1
715,1,2,2,0,0,3,2,2,38,0,0,1,1,0,1,0,3,46,1,6,2,6,8,1,1,2,1,2,0,2,3,1,0,1,0,0,0,0,0,1,4,1
716,0,0,0,0,1,2,4,3,40,0,0,0,0,0,1,0,1,24,1,5,1,6,7,2,2,2,0,0,2,0,3,3,1,0,0,0,0,0,0,2,4,1
717,2,1,0,1,0,3,2,2,20,1,0,0,0,0,0,0,1,25,1,5,1,6,8,2,1,2,0,0,2,0,2,3,1,0,0,0,0,0,0,2,4,1
718,1,1,0,1,0,1,1,2,76,1,0,0,0,1,0,0,2,28,1,6,1,6,4,2,1,6,0,0,3,0,2,1,0,1,0,0,0,0,0,1,4,1
721,0,4,3,0,0,3,1,1,0,0,0,1,0,0,1,0,2,50,1,6,2,6,7,1,1,2,0,0,3,0,5,1,1,1,0,1,0,0,0,2,4,1
723,0,2,0,1,0,3,1,1,14,0,0,0,1,0,0,1,2,68,1,4,2,3,4,1,1,4,0,0,0,2,5,1,1,1,0,0,0,0,0,2,4,1
724,1,1,1,0,0,3,2,2,21,0,0,1,1,0,0,0,2,26,2,5,2,6,8,1,1,1,0,0,2,0,3,2,0,0,0,0,1,0,0,2,4,1
725,0,2,1,0,0,4,5,5,21,0,0,0,0,0,1,0,1,36,1,6,2,6,7,1,1,7,0,0,0,0,3,2,0,0,0,0,1,0,0,2,4,1
726,0,0,0,0,1,3,1,1,0,0,0,0,1,0,0,0,1,51,1,6,2,6,10,2,1,4,0,0,1,0,2,1,0,1,0,0,0,0,0,2,4,1
727,0,1,0,0,0,4,1,1,19,0,0,0,0,0,0,1,1,55,2,3,2,6,10,1,1,2,0,0,3,0,5,1,1,1,0,1,0,0,0,2,4,2
728,3,3,2,0,0,2,2,2,42,0,0,0,1,1,0,0,2,46,2,5,2,6,8,1,1,2,0,0,1,2,3,2,1,1,0,0,0,0,0,2,4,1
729,0,0,0,0,1,4,3,3,49,0,0,0,1,0,1,0,2,45,2,4,2,6,8,2,1,1,0,1,2,2,2,3,0,0,0,0,1,0,0,2,4,1
730,0,1,1,0,0,3,2,2,20,0,0,0,1,0,0,0,1,50,1,6,2,2,1,1,1,1,0,0,3,0,5,1,1,1,0,0,0,0,0,2,4,1
731,0,3,3,0,0,3,2,2,18,0,0,1,1,0,0,0,2,66,2,4,2,3,2,1,1,2,1,0,2,2,5,2,1,1,0,0,0,0,0,1,4,1
733,0,3,2,0,0,3,3,3,64,0,0,1,1,0,0,1,3,55,2,6,2,3,8,2,1,3,0,0,2,1,5,2,1,1,1,0,0,0,0,2,4,1
734,0,2,1,1,0,3,3,2,60,0,0,1,1,0,1,0,3,22,2,6,1,1,5,2,1,2,0,0,4,0,2,2,1,1,0,1,0,0,0,1,4,1
735,1,3,3,0,0,3,2,2,21,0,0,0,1,0,1,0,2,19,2,6,1,1,8,2,1,2,0,1,3,2,4,2,1,1,0,0,0,0,0,2,4,2
736,0,4,3,0,0,3,2,2,5,0,0,1,1,0,1,0,3,50,2,6,2,6,8,1,1,3,0,1,1,1,3,2,0,1,1,0,1,0,0,2,4,1
739,0,0,0,0,1,3,4,2,56,0,0,0,0,0,0,1,1,42,1,6,2,6,8,1,1,2,0,1,2,2,3,2,1,1,0,0,1,1,0,2,4,1
740,0,3,3,0,0,3,2,2,7,0,0,0,0,0,0,1,1,32,2,6,2,6,8,2,1,2,1,0,2,2,5,2,0,1,0,0,0,0,0,1,4,1
741,0,2,2,0,0,1,2,2,47,0,0,1,1,0,0,0,2,21,2,6,1,1,10,2,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2,4,1
742,0,1,1,0,0,4,2,2,26,0,0,1,1,0,1,0,3,42,2,6,2,6,8,1,1,3,1,0,2,2,2,2,1,0,1,0,0,0,0,1,4,1
743,0,2,2,0,0,3,4,3,81,0,0,1,1,1,1,0,4,30,2,6,1,6,8,2,2,2,0,0,2,0,2,4,1,1,1,0,1,1,0,1,4,1
744,3,2,2,0,0,3,2,1,4,0,0,0,1,0,0,0,1,41,2,6,2,6,7,1,1,3,0,1,2,0,4,1,1,1,0,0,0,0,0,1,4,1
745,0,5,3,2,0,3,3,2,56,0,1,1,1,1,1,0,5,33,2,6,2,6,8,1,1,5,1,0,2,1,2,2,1,1,1,0,1,0,0,1,1,1
746,1,2,2,0,0,3,1,2,21,0,0,0,0,0,1,0,1,44,1,4,2,6,8,1,1,5,0,1,2,2,2,1,1,1,0,0,0,0,0,1,4,1
748,1,2,2,0,0,1,2,2,10,0,0,0,0,0,0,1,1,45,2,5,2,6,7,1,2,2,0,0,2,0,2,2,1,0,0,0,0,0,0,2,4,1
750,0,3,3,0,0,3,2,2,20,0,0,1,1,0,0,0,2,35,2,6,1,6,8,1,1,2,0,0,2,1,5,2,1,1,0,0,1,0,0,1,4,1
751,4,4,3,1,0,3,3,3,21,0,0,1,1,0,0,0,2,30,2,6,1,6,8,2,2,2,0,0,1,0,2,2,1,0,0,0,0,0,0,2,4,1
752,0,3,3,0,0,4,2,1,42,1,1,0,0,0,0,0,2,40,2,6,1,6,8,1,1,2,0,0,1,1,5,2,1,1,0,0,0,0,0,1,4,1
754,0,1,1,0,0,3,2,3,85,0,0,0,1,0,1,0,2,37,2,6,1,6,8,1,1,2,0,0,1,0,3,3,1,0,0,0,1,0,0,2,4,1
755,0,3,3,0,0,2,2,1,28,0,0,0,1,0,1,0,2,22,1,6,1,1,8,1,1,1,1,1,3,1,5,1,1,1,0,1,0,0,0,2,2,2
756,3,2,2,0,0,1,5,4,62,0,0,1,1,0,0,0,2,38,2,5,2,6,8,2,1,2,1,0,3,1,5,2,1,0,1,0,1,0,0,1,4,1
757,0,4,3,1,0,3,2,3,50,1,0,1,1,1,1,0,5,36,2,6,1,6,8,1,1,2,0,0,2,0,4,2,1,1,0,0,1,0,0,1,4,1
758,2,2,2,0,0,2,2,2,41,0,0,0,1,1,0,0,2,44,1,4,1,6,8,2,1,1,0,0,3,0,2,2,1,1,1,0,0,0,0,1,4,1
759,0,2,2,0,0,3,2,2,55,0,0,1,1,0,1,0,3,36,2,6,1,6,8,1,1,2,0,0,1,2,5,2,1,1,1,0,1,0,0,2,4,1
760,1,1,0,1,0,1,1,1,19,1,0,0,0,0,0,0,1,25,2,2,2,2,6,1,1,3,0,0,0,0,2,1,0,0,0,0,0,0,1,1,4,1
761,1,1,0,1,0,1,4,4,39,0,0,0,0,1,0,0,1,33,1,5,2,6,12,1,1,2,1,2,2,2,2,3,0,1,0,0,0,0,0,2,4,1
762,0,5,3,2,0,3,2,2,40,1,1,1,1,1,1,0,6,21,2,6,1,1,10,2,2,1,0,0,2,0,1,2,1,1,0,0,0,0,0,2,4,1
763,0,3,3,0,0,3,2,2,23,0,0,0,1,0,0,0,1,32,2,6,2,6,8,1,1,3,1,0,2,0,3,2,1,1,0,0,0,0,0,2,4,1
764,1,2,2,0,0,3,2,3,50,1,0,0,1,1,0,0,3,30,2,6,2,6,8,1,1,1,1,0,2,0,3,4,1,0,0,0,0,0,0,2,4,1
766,0,3,3,0,0,3,2,1,20,0,0,0,1,0,0,0,1,55,2,3,2,4,8,1,1,4,2,0,4,1,5,1,1,0,0,1,0,0,0,2,4,2
768,4,1,1,0,0,3,2,2,7,0,0,1,0,0,0,0,1,42,2,3,1,5,5,1,1,1,1,0,1,2,2,2,1,1,1,1,1,0,0,1,1,1
769,0,2,2,0,0,3,1,1,2,0,0,0,0,0,0,1,1,59,2,4,2,4,6,1,1,1,0,0,1,1,5,1,0,1,0,1,0,0,0,2,4,2
772,1,1,0,1,0,3,1,2,58,1,0,0,0,0,0,0,1,28,1,5,1,6,8,2,2,3,0,0,3,1,2,1,1,0,0,0,0,1,0,2,4,2
773,5,3,3,0,0,3,2,2,18,0,0,1,1,0,0,0,2,50,2,5,2,6,10,1,1,4,0,0,3,1,2,2,1,0,0,0,0,0,0,2,1,1
774,0,4,3,0,0,3,2,2,40,0,0,1,1,0,1,0,3,46,2,7,2,6,8,1,1,3,0,0,3,0,3,2,1,1,1,0,0,1,0,1,1,1
