AGE;GENDER;EDU;MARRY;EMPLOY;INCOME;PEOPLE;KNOW;BUY;PAY;;;;;;;;;;;;;;;;;;;;
48;1;16;1;1;6500;4;4;4;3;;;;;;;;;;;;;;;;;;;;
19;1;14;1;0;19000;5;1;1;1;;;;;;;;;;;;;;;;;;;;
56;1;18;1;1;2500;2;1;1;2;;;;;;;;;;;;;;;;;;;;
25;1;16;1;1;4500;1;2;1;1;;;;;;;;;;;;;;;;;;;;
19;1;12;1;1;2500;3;2;1;3;;;;;;;;;;;;;;;;;;;;
44;1;5;0;1;1500;3;3;4;4;;;;;;;;;;;;;;;;;;;;
55;0;5;0;1;1500;3;2;5;4;;;;;;;;;;;;;;;;;;;;
48;1;16;0;0;2500;2;2;1;2;;;;;;;;;;;;;;;;;;;;
42;1;22;0;1;4500;2;4;1;2;;;;;;;;;;;;;;;;;;;;
58;0;16;0;1;4500;2;3;1;3;;;;;;;;;;;;;;;;;;;;
21;1;14;1;1;10000;3;4;1;3;;;;;;;;;;;;;;;;;;;;
44;1;16;0;1;10000;4;3;4;4;;;;;;;;;;;;;;;;;;;;
28;1;16;1;0;2500;3;1;1;3;;;;;;;;;;;;;;;;;;;;
75;1;18;1;0;13500;1;5;4;5;;;;;;;;;;;;;;;;;;;;
29;0;16;1;1;10000;2;1;1;4;;;;;;;;;;;;;;;;;;;;
29;0;16;0;1;19000;2;3;1;2;;;;;;;;;;;;;;;;;;;;
26;0;16;0;1;10000;4;4;2;1;;;;;;;;;;;;;;;;;;;;
32;1;16;1;1;2500;4;1;1;3;;;;;;;;;;;;;;;;;;;;
28;1;16;1;0;13500;4;4;2;3;;;;;;;;;;;;;;;;;;;;
29;1;16;1;1;10000;2;2;1;3;;;;;;;;;;;;;;;;;;;;
33;1;16;0;1;4500;2;1;1;2;;;;;;;;;;;;;;;;;;;;
30;0;16;0;1;4500;4;2;2;4;;;;;;;;;;;;;;;;;;;;
30;1;16;1;1;13500;2;4;2;3;;;;;;;;;;;;;;;;;;;;
33;1;14;1;1;2500;2;2;4;5;;;;;;;;;;;;;;;;;;;;
43;1;16;0;1;4500;3;4;2;5;;;;;;;;;;;;;;;;;;;;
45;0;16;1;1;2500;3;2;1;4;;;;;;;;;;;;;;;;;;;;
37;1;16;0;1;27500;4;4;2;3;;;;;;;;;;;;;;;;;;;;
30;0;12;0;0;1500;3;2;2;2;;;;;;;;;;;;;;;;;;;;
37;1;16;0;1;10000;4;3;2;2;;;;;;;;;;;;;;;;;;;;
22;0;12;1;1;2500;3;2;5;5;;;;;;;;;;;;;;;;;;;;
53;1;16;0;1;4500;3;4;4;5;;;;;;;;;;;;;;;;;;;;
