IBGE;IPSAMZ21;NHB_21;FBE_21;OP_21;NHB1_21;NHB2_21;NHB3_21;NHB4_21;FBE1_21;FBE2_21;FBE3_21;FBE4_21;OP1_21;OP2_21;OP3_21;OP4_21;NHB11_21;NHB12_21;NHB13_21;NHB14_21;NHB15_21;NHB21_21;NHB22_21;NHB23_21;NHB31_21;NHB32_21;NHB33_21;NHB34_21;NHB41A_21;NHB41B_21;NHB42A_21;NHB42B_21;NHB43_21;FBE11_21;FBE12_21;FBE13_21;FBE14_21;FBE15_21;FBE21_21;FBE22_21;FBE23_21;FBE24_21;FBE31_21;FBE32_21;FBE33_21;FBE34_21;FBE35_21;FBE41_21;FBE42_21;FBE43_21;FBE44_21;FBE45_21;OP11_21;OP12_21;OP13_21;OP14_21;OP21_21;OP22_21;OP23_21;OP24_21;OP31_21;OP31B_21;OP32_21;OP33A_21;OP33B_21;OP41_21;OP42_21
1502855;58,76;74,76;51,92;49,6;91,15;62,2;69,74;75,97;58,04;4,7;83,53;61,43;33,09;57,2;100;8,11;25,1;0;6,95;0;6,76;77,27;0,58;68,1;31,17;76,78;78,5;80,49;16,38;4;4,63;2;13,9;2,9;22,8;42,3;4;7;0,44;0,29;31,28;1,9;41,69;20,84;104,22;62,53;6,95;0;26,2;6,84;66,58;7,75;77,78;0,41;3;0;2;25,52;1,35;30,96;0;1;0;0;1;12,3;7,3
1502905;55,1;71,85;51,92;41,52;88,89;77,51;78,22;42,78;48,07;9,68;77,27;72,65;24,07;57,92;76,7;7,39;14,6;2,5;29,95;206,49;5,12;84,57;76,48;69,79;66,78;73,92;81,72;85,49;105,58;6;46,59;6;13,31;1,4;34,6;58,5;3,95;12,2;7,25;0,92;44,37;7,73;59,9;52,41;152,25;64,89;4,99;37,2;41,66;0,9;7,08;0,32;53,85;1,13;2;0;3;24,64;28,72;36,31;0;1;48,15;44,63;3;10,76;6,91
1502939;56,25;69,7;52,69;46,36;94,15;49,86;87,44;47,37;60,67;8,82;86,95;54,34;28,27;59,57;89,88;7,72;5,03;2,53;6,7;167,79;6,4;90,84;22,39;13,06;91,79;94,5;69,19;95,52;55,7;6;28,47;5;18,98;2,4;23;53;5,05;8;4,07;1,63;40,1;9,68;25,12;40,19;130,61;21,77;1,67;0;66,92;1,42;87,86;5,84;60;2,3;5;0;2;22,32;1,46;30,7;0;1;9,44;4,06;2;11,29;7,2
1502954;52,15;62,67;49,89;43,87;87,4;45,16;79,93;38,2;52,62;9,06;87,35;50,53;26,22;50,54;88,9;9,83;24,84;5,23;11,83;414,08;7,76;28,65;68,2;55,47;47,36;76,71;94,23;89,9;81,74;6;51,27;6;35,49;4,4;28,2;48,1;4,2;7,6;0,87;0,86;48,25;12,25;17,75;53,24;76,9;26,62;7,89;0,01;93,31;0,37;32,51;1,47;53,85;2,68;7;5;2;27,12;84,17;34,16;0;1;18,81;13,6;2;13,96;9,41
1503002;61,37;79,58;58,04;46,49;85,47;72,28;87,48;73,08;55,71;2,98;77,66;95,81;28,26;53,39;89,87;14,44;24,19;13,9;13,9;806,45;4,77;82,47;35,67;74,37;74,66;89,54;97,66;84,81;16,84;4;9,27;3;0;4,2;24,7;35,2;3,9;8,1;2,1;0,6;14,85;0,87;27,8;55,6;208,51;55,6;13,9;92,91;2,15;2,24;40,65;6,51;66,67;0,28;2;0;2;30,65;1,52;31,45;0;1;9,55;14,45;2;20,85;13,62
1503044;53,52;60,94;53,38;46,22;91,23;37,65;77,5;37,39;56,48;10,4;88,63;58,04;24,62;47,73;100;12,53;11,56;0;17,24;289,02;6,47;55,34;37,45;17,38;47,96;78,86;84,06;88,95;142,85;6;90,29;6;39,4;2,9;26,6;48,3;4,1;5,8;9,74;0,93;40,92;10,25;14,78;14,78;128,05;24,63;9,85;0,08;56,07;0,35;32,09;7,84;54,55;1,32;9;0;2;32,95;88,59;21,68;0;1;0;0;1;17,34;12,26
1503077;50,28;59,27;47,82;43,76;93,56;42,76;59,19;41,57;46,33;6,99;86,03;51,9;21,06;49,64;89,48;14,86;8,21;0;17,92;0;4,74;24,28;17,02;73,74;41,59;70,26;51,44;68,5;82,11;6;63,94;6;19,18;3,4;38,1;54,4;4,25;11,8;6,4;1,07;32,4;2,27;38,36;46,04;92,07;23,02;3,84;0,67;89,84;0,17;11,13;2,6;45,45;1,49;10;7;2;26,08;109,14;35,11;0;1;13,31;8,51;2;19,8;15
1503093;49,91;57,35;48,56;43,82;90,71;25,2;73,38;40,09;40,74;8;89,17;56,34;18,86;54,66;89,79;11,97;23,3;2,47;7,41;179,21;5,91;14,79;74,24;18,67;65,21;75,31;62,69;86,45;65,46;6;42;6;26,35;4,1;32,3;60,2;3,95;16,5;5,85;0,69;35,3;7,83;24,71;39,53;91,41;12,35;2,47;0,03;56,55;2,27;83,69;5,48;38,46;2,02;7;7;1;23,12;3,09;43,37;0;1;10,33;5,96;2;16,83;11,56
1503101;52,34;67,39;46,12;43,52;92,78;36,62;72,64;67,53;18,03;5,58;88,64;72,21;19,11;58,28;90,19;6,51;14,21;3;11,98;139,03;3,74;38,35;27,03;38,25;36,22;44,85;97,06;94,85;37,25;5;7,99;3;2;9,9;48,9;71,4;3,25;17;1,03;0,44;18,97;15,21;17,98;29,96;86,89;38,95;3;16,32;1,54;8,57;11,17;2,46;45,45;0,09;4;6;5;32,04;24,69;32,3;0;1;6,53;2,86;2;10,01;5,78
1503200;50,98;71,82;46,26;34,87;92,27;66,49;80,6;47,92;48,45;11,08;73,04;52,47;22,63;61,25;48,84;6,77;12,57;0;18,04;170,85;4,45;78,46;11,34;73,52;78,59;84,29;74,03;84,86;65,41;6;25,77;5;16,32;3,1;33,2;47,2;3,6;10;9,1;1,45;43,21;12,28;59,27;82,46;180,38;74,73;5,15;0,01;87,18;0,03;7,62;0,85;30,77;7,05;3;0;3;23,34;3,17;30,34;13,89;4;84,39;52,59;3;9,3;6,67
1503309;49,9;54,53;50,67;44,49;92,49;11,75;69,13;44,76;42,74;9,14;85,59;65,21;21,43;62,74;87,1;6,7;14,86;1,59;12,76;87,41;4,77;16,85;8,29;7,18;41,56;38,75;90,32;90,71;114,48;6;47,32;6;3,72;3,4;36,6;50,7;3,85;16;3,21;0,84;44,7;11,47;19,14;46,25;122,81;41,47;3,19;0;24,73;0,62;11,32;1,52;46,67;1,4;3;0;5;25,52;34,06;30,24;0;1;36,04;14,21;2;9,52;6,41
1503408;51,44;61,45;46,28;46,59;86,43;44,79;72,59;42;44,11;6,44;78,59;55,99;27,78;60,23;89,02;9,34;24,69;8,65;14,42;617,28;6,03;60,3;52,81;23,91;49,18;59,9;90,39;81,03;124,51;6;54,08;6;17,08;3,5;32,5;61,7;3,85;11,9;2,46;1,26;36,32;2,33;42,69;85,39;128,08;25,62;17,08;0;69,33;0,17;15,15;0,84;55,56;3,29;4;7;3;25,93;18,24;17,28;0;1;17,64;21,59;2;12,64;9,31
1503457;56,14;69,85;51,13;47,46;91,52;66,92;72,02;48,92;45,38;5,61;94,69;58,85;32,29;59,75;90,05;7,74;20,25;1,56;9,37;155,76;5,36;74,7;51,59;63,75;59,22;59,92;85,46;77,3;43,02;6;28,62;5;11,45;2,8;35,7;65,6;4,4;12,7;1,35;1,37;22,19;10;6,24;21,86;51,52;7,81;1,56;3,58;53,7;1,54;56,98;3,95;72,73;1,36;3;0;3;25,55;0,24;30,84;0;1;7,8;7,33;2;11,1;7,34
1503507;52,32;65,63;46,72;44,62;92,45;56,17;69,4;44,52;48,27;7,41;79,12;52,08;22,39;59,96;86,24;9,89;21,93;3,07;3,07;238,1;3,74;66,25;17,41;59,2;33,18;69;79,96;82,8;65,91;6;27,65;5;32,77;1,3;29,8;57;3,7;13,3;2,78;0,49;43,36;3,97;30,72;70,66;184,33;46,08;6,14;0;88,08;0,08;12,68;2,55;46,15;2,24;5;0;3;22,37;20,72;37,06;0;1;44,27;3,63;2;12,66;10,29
1503606;53,24;55,81;56,98;46,94;89,4;13,83;82,97;37,03;49,75;17,75;74,91;85,5;20,13;64,36;90,03;13,25;19,5;0,99;22,72;127,17;5,83;17,42;17;8,51;82,66;83,06;76,98;88,41;83,12;6;74,73;6;41,15;3,5;29,4;48,1;4,4;14,5;17,96;4,56;74,29;4,29;53,33;55,31;213,34;44,45;17,78;75,14;9,84;8,81;74,72;19,81;40;2,47;10;0;4;24,54;1,73;19,97;0;1;8,05;11,47;2;19,17;12,47
1503705;51,61;59,87;51,39;43,56;91,36;15;84,16;48,96;48,25;8,96;87,89;60,48;33,24;57,74;75,21;8,04;17,73;2,51;11,26;161,54;5,56;10,03;45,33;9,29;60,71;85,19;94,51;88,72;64,73;6;30,04;5;11,26;4,1;31,3;48,6;3,9;10,5;3,67;0,86;48,06;7;18,77;24,4;95,74;46,93;3,75;17,61;63,21;1,98;74,25;3,94;69,23;3,09;13;8;2;25,06;0,68;29,79;0;1;62,38;47,46;3;11,83;7,45
1503754;47,24;54,39;52,81;34,51;78,7;31,92;67,24;39,68;31,03;31,71;76,9;71,6;24,07;53,13;47,51;13,33;23,81;12,14;60,69;170,07;7,7;19,52;19,24;50,98;38,34;87,42;85,42;53,55;66,19;6;101,14;6;28,32;4;40,7;82,7;3,4;13,9;1,2;2,26;200,55;23,42;24,27;97,1;121,37;48,55;24,27;78,47;3,4;12,95;528,57;131,49;54,55;0,92;3;5;1;31,12;1,1;12,93;0,6;2;250,5;60,98;3;19,78;12,26
1503804;51,59;61,13;50,79;42,84;89,87;22,87;82,45;49,31;51,09;12,34;84,76;54,95;27,78;72,11;64,04;7,44;20,98;6,76;6,76;140,77;7,14;26,82;11,42;22,65;77,11;87,77;71,59;91,31;58,2;6;26,48;5;9,58;2,4;27,5;49,8;3,9;12;7,72;1,21;52,7;15,34;32,12;52,4;133,55;18,6;5,07;0;73,92;0,68;12,16;0,58;61,54;1,49;5;7;7;23,36;2,41;23,78;6,41;3;103,03;27,11;2;10,13;7,39
1503903;58,85;75,22;55,91;45,43;89,84;60,57;78,56;71,89;62,98;6,82;87,7;66,15;23,86;63,25;85,9;8,71;29,31;4,65;5,18;123,77;5,51;72,72;1,11;69,03;52,68;75,89;93,44;83,47;18,02;4;8,05;3;5,75;1,4;22,7;49,9;4,75;6,3;4,29;0,45;37,47;2,53;31,07;39,69;60,4;31,07;5,18;0;14,82;2,48;32,09;3,39;53,33;1,14;3;0;4;25,75;5,45;19,98;0;1;47,52;27,31;2;13,43;7,71
1504000;53,2;64,35;50,38;44,86;92,69;25,26;67,09;72,36;36,15;6,35;89,5;69,53;19,22;56,55;99,23;4,43;21,32;0;6,95;248,76;3,44;33,83;15,4;19,11;26,47;27,82;96,66;96,16;11,46;4;6,91;3;3,46;4,6;42,6;50,2;3,85;19,5;2,71;0,4;29,74;8,61;10,37;44,93;62,21;34,56;3,5;0;5,12;0,32;8,19;0,34;45,45;0,17;2;0;4;29,21;13,86;46,7;0;1;7,37;0;1;5;5
1504059;51,27;60,78;47,97;45,05;85,87;28,25;88,07;40,95;50,62;16;74,51;50,75;24,77;54,01;88,6;12,81;21,28;19,95;19,95;177,3;4,59;23,26;49,14;26,1;79,65;89,48;90,52;90,04;130,39;6;42,11;6;22,17;1,9;32,6;48,4;4,25;14,3;3,41;3,87;75,92;19,68;66,5;76,47;179,54;56,52;3,32;0;95,55;0,05;6,48;0,53;45,45;4,17;5;7;2;28,19;29,16;27,66;0;1;21,67;19,78;2;17,46;12,7
1504109;54,43;72,82;51,04;39,43;93,5;70,79;79,72;47,26;49,68;7,11;78,08;69,28;26,62;51,91;73,95;5,25;17,09;0;11,7;0;3,48;92,62;70,95;45,62;72,25;86,23;75,16;83,42;60,02;6;31,2;5;19,5;3,1;28,8;60,3;3,95;8,2;1,37;1,18;38,06;7;46,79;81,89;140,38;35,1;11,73;34,68;51,67;1,41;19,62;2,57;55,56;2,45;2;5;1;28,21;4,24;35,9;0;1;74,51;56,97;3;7,49;5
1504208;57,21;61,69;63,7;46,24;89,85;30,6;88,92;37,4;66,28;36,76;86,09;65,68;31,28;75,14;59,16;19,39;18,25;1,07;18,61;103,69;6,94;35,37;7,49;33,83;82,26;87,28;90,18;93,18;130,26;6;87,11;6;39,38;1,5;22;39,2;4,7;5,4;11,53;18,83;186,82;4,22;18,61;46,54;101,66;46,54;2,86;27,9;58,38;1,98;23,69;1,45;61,9;3,89;5;7;7;20,03;4,24;18,56;5,54;3;62,45;68,16;3;28,86;17,78
1504307;55,08;66,02;52,25;46,96;88,73;50,04;63,38;61,95;50,38;7,36;79,5;71,76;21,81;61,82;99,76;4,46;28,57;0;20,37;0;5,72;77,04;54,04;17,46;36,82;73,77;63,41;71,85;32,94;5;19,23;4;1,13;3,4;31,2;54,7;4,15;8,8;1,53;1,09;47,39;1,21;54,29;61,07;135,72;47,5;3,39;34,67;41,04;1,08;13,83;1,86;45,45;2,03;3;6;4;24,57;16,56;31,71;0;1;2,34;0;1;5,09;5
1504406;52,57;65,94;50,17;41,61;90,28;54,02;76,83;42,62;47,34;8,34;78,49;66,53;21,57;57,48;81,25;6,13;9,87;3,57;21,17;325,55;5,88;72,53;50,97;33,88;66,65;74,55;79,81;82,25;92,96;6;45,88;6;14,12;2,6;31,5;63,5;3,95;10,1;4,47;1,28;39,94;7,17;56,47;52,94;123,52;67,05;5,3;22,69;50,41;0,37;14,61;1,37;45,45;1,86;4;0;3;25,66;33,68;31,91;0;1;91,98;38,68;2;9,21;5,58
1504422;56,76;67,82;54,09;48,37;89,83;40,85;96,16;44,43;56,3;12,97;80,96;66,13;29,29;63,06;90,65;10,47;16;1,52;28,89;113,22;4,07;53,15;28,99;31,17;96,03;93,31;97,68;97,06;155,09;6;75,78;6;5,32;2;26,6;46,6;4,4;10,9;4,94;6,94;56,3;6,69;22,81;66,15;102,65;85,92;2,28;30,36;65;0,16;1,85;0;53,33;5,04;9;7;4;20,02;2,2;53,28;0;1;2,07;1,05;2;17,49;8,47
1504455;52,2;59,83;51,41;45,35;91,39;24,6;80,86;42,48;45,75;10,91;89,81;59,18;25,31;50,77;99,51;5,82;26,48;0;6,33;203,67;4,56;23,23;16,87;29,1;39,55;94,5;92,43;85,74;86,92;6;43,25;6;14,77;3,4;34,1;46,3;3,95;15,4;10,36;1,01;40,95;11,98;6,33;28,48;107,61;31,65;3,16;3,64;30,41;9,53;129,55;13,04;54,55;1,81;6;0;0;28,92;27,77;11,81;0;1;4,7;0;1;7,37;6,11
1504505;49,25;53,19;51,67;42,89;94,39;12,44;27,08;78,84;31,9;4,05;93,37;77,36;15,38;51,23;100;4,97;9,35;0;7,23;155,76;5,22;9,26;9,01;17,4;24,12;27,34;28,6;27,37;11,59;4;2,41;2;0;4;45,8;61,2;3,4;18;0,88;0,25;17,32;8,27;3,62;21,7;25,31;32,55;5,46;29,25;2,52;3,69;13,19;2,29;36,36;0,14;2;0;2;26,79;50,68;45,79;0;1;0;0;1;6,65;5
1504604;53,69;63,91;48,97;48,2;91,25;37,06;78,25;49,08;46,57;7,9;83,17;58,26;31,28;55,02;90,4;16,1;17,39;3,23;3,21;399,54;6,78;44,91;37,3;27,94;57,67;76,7;90,75;81,1;78,63;6;23,55;5;10,71;2,1;33;59,8;4;13,3;3,62;0,68;42,76;5,34;25,69;67,45;67,45;54,6;9,64;0;56,35;0,1;30,6;3,93;72,73;0,63;2;0;2;28,48;5,39;29,35;0;1;4,46;7,12;2;23,35;15,13
1504703;49,33;52,17;50,61;45,19;89,4;20,73;56,47;42,09;47,05;8,23;89,16;58,02;27,41;59,71;87,18;6,47;32,95;1,84;10,96;76,63;4,53;28,7;41,05;3,9;48,9;45;63,53;63,69;110,94;6;58,47;6;16,65;2,5;28,1;59,8;3,9;13,4;3,38;1,17;37,05;10,89;19,49;31,67;41,42;38,98;8,53;0,95;49,49;2,16;80,37;9,02;53,33;3,69;2;0;4;28,35;21,84;24,67;0;1;35,3;21,97;2;9,66;5,92
1504752;55,47;67,27;54,07;45,07;91,43;43,87;75,44;58,33;65,74;4,15;89,18;57,21;21,27;59,31;89,52;10,16;20,9;0;6,22;298,51;6,1;37,46;0,72;67,52;37,83;70,59;96,59;83,72;23,83;5;16,58;4;18,65;0,5;24,4;41,4;4,6;5,8;5,99;0,62;13,23;2,22;18,65;43,52;31,09;24,87;12,43;0;35,88;5,64;162,28;20,21;36,36;4,39;2;0;0;18,51;0;17,31;0;1;12,9;8,64;2;14,05;9,95
1504802;56,29;67,06;56,3;45,5;92,34;33,78;77,76;64,35;54,5;11,03;78,34;81,34;20,17;50,52;99,26;12,05;17,14;3,45;6,89;95,24;5,33;38,11;5,32;15,71;33,1;76,37;95,8;90,5;16,9;4;10,91;4;14,36;4,1;26,7;38,2;4,25;10,4;13,11;1,1;47,5;2,62;77,54;55,14;137,85;31,02;5,17;56,42;18,19;2,12;64,33;5,83;33,33;4,5;2;0;1;25,05;48,27;43,24;0;1;0;0;1;16,51;11,89
1504901;54,67;68,03;52,69;43,3;90,79;19,75;72,82;88,76;47,17;7,82;85,73;70,06;29,45;50,08;89,02;4,64;22,73;5,01;9,91;173,01;4,03;45,2;2,98;44,44;46,09;37,22;96,9;95,33;5,61;2;3,3;2;1,65;2,2;35;57,9;4,05;12,3;3,07;0,69;28,86;16,55;17,35;44,61;128,88;37,18;5,01;0,01;2,75;0,34;2,83;1,76;69,23;0,37;3;7;2;31,01;71,03;22,73;0;1;17,69;5,37;2;5,65;5
1504950;47,45;51,83;52,46;38,05;92,3;6,48;66,54;41,99;38,7;6,58;91,37;73,21;25,68;52,95;62,11;11,48;20,17;0;4,68;288,18;5,2;3,5;61,72;10,98;59,21;61,33;71,1;71,04;171,9;6;81,12;6;17,16;4;34,7;55,9;3,65;17,8;2,61;0,51;35,26;5,59;9,36;28,08;79,56;18,72;4,68;52,73;57,17;1,03;29,53;5,27;55,56;1,77;8;5;2;27,67;8,75;47,26;0;1;187,63;43,34;3;16,61;10,81
1504976;46,71;56,81;45,34;37,98;87,97;5,7;80,65;52,92;35,26;5,86;86,43;53,82;30,75;45,41;64,22;11,56;22,84;6,23;11,99;458,72;6,59;16,35;78,69;62,48;57,6;74,49;92,99;88,72;82,02;6;11,99;4;19,99;3,7;41,4;58,4;3,8;20,1;0,21;0,33;39,96;2,31;35,98;35,98;83,94;17,99;12,12;0;75,23;1,28;39,22;2,55;66,67;2,08;3;0;0;30,57;69,56;23,58;0;1;167,44;93,63;3;15,35;11,69
1505007;56,6;68,21;50,39;51,21;93,24;44,71;79,14;55,73;56,32;11,31;79,8;54,12;30,73;65,7;100;8,39;7,63;6,57;13,02;0;4,4;80,72;45,49;19,07;76,18;76,21;73,39;88,34;17,65;4;21,7;5;28,21;2,2;28,5;52;4,4;7,5;9,86;1,33;51,6;6,15;58,58;91,13;97,64;19,53;6,51;0;77,93;0,16;17,47;1,55;66,67;2,06;10;4;5;23,66;8,86;29,77;0;1;0;0;1;11,52;8,27
1505031;52,13;57,57;57,18;41,65;91,54;20,01;88,95;29,76;62,8;18,02;86,41;61,5;34,55;56,39;62,51;13,15;6,84;3,89;19,41;341,88;4,87;39,99;1,86;70,52;87,01;81,24;90,71;94,51;82,82;6;97,04;6;76,34;1,8;24,7;45,1;5,05;8,5;10,02;3,87;73,1;22,24;27,17;23,29;69,87;42,7;15,53;38,41;18;11,02;396,64;104,05;72,73;2,99;5;0;1;23,76;9,75;24,44;0;1;183,81;128;3;17,86;13,08
1505064;50,19;53,84;49,05;47,66;91,12;14,61;67,37;42,27;40,95;9,19;87,17;58,89;31,24;62,25;90,09;7,07;19,28;1,32;13,17;167,64;5,28;9,71;22,32;10,54;51,33;47,67;80,49;80,79;53,05;6;40,39;6;15,81;5,2;37,2;52,1;3,9;13,8;0,27;0,74;35,11;24,54;25,03;32,93;139,62;14,49;5,27;16,8;54,67;5,49;161,52;7,69;69,23;1,66;16;11;4;28,5;0,39;14,92;0;1;7,48;2,95;2;9,97;6,81
1505106;54,9;63,77;57;43,94;92,62;28,88;68,25;65,34;48,54;8,21;83,09;88,15;21,67;60,23;88,38;5,49;13,74;3,2;11,51;131,98;4,37;32,05;1,32;30,55;41;63,56;86,97;72,14;19,91;4;12,79;4;9,59;2,6;29,5;62,3;4,25;12;2,8;1,51;46,85;3,37;19,18;63,29;163,03;26,85;7,67;74,81;7,2;4,93;47,99;11,97;46,15;1,72;6;0;4;28,66;3,27;27,47;0;1;23,81;25,22;2;7,96;5,16
1505205;46,56;51,54;46,44;41,72;85,8;20,33;38,7;61,34;19,64;5,92;88,67;71,51;27,19;47,55;87,7;4,43;37,15;9,23;3,08;445,77;7,22;42,58;11,91;15,16;44,36;41,9;36,38;34,79;21,67;5;11,28;4;4,1;6,4;46,3;71,6;3,35;24,9;1,44;0,29;29,68;8,61;18,45;33,83;79,97;30,76;6,15;21,69;20,82;0,88;41,21;5,18;63,64;0,43;2;6;3;30,01;135,81;35,66;0;1;30,3;31,03;2;5;5
1505304;57,45;66,39;64,22;41,74;91,06;45,57;74,25;54,69;63,48;8,97;89,07;95,36;23,5;61,32;72,68;9,44;23,23;1,37;8,21;107,02;5,93;52,42;5,5;99,73;58,34;64,75;87,49;79,66;42,92;6;15,5;4;11,4;1,7;26,8;40,4;4,9;7,4;4,5;2,19;44;5,35;5,47;47,88;76,61;35,57;4,1;91,72;1,5;3,69;30,32;6,17;53,33;0,88;2;0;4;27,23;1,77;27,87;0;1;86,57;81,33;3;14,35;8,48
1505403;53,56;65,66;50,02;45,01;96,75;32,96;84,34;48,59;50,05;12,58;85,47;51,98;30,11;55,86;89,66;4,43;6,45;0;5,6;0;3,14;68,05;81,25;9,86;86,72;83,74;76,69;90,12;62,41;6;35,5;5;13,08;1,7;30,9;53,3;4,15;13,9;13,99;1,29;46,26;10,71;22,42;33,63;78,47;67,26;5,64;0;88,63;0,21;12,88;1,28;66,67;1,61;12;6;3;25,16;18,23;53,23;0;1;11,62;20,97;2;5;5
1505437;56,53;66,06;61,15;42,37;90,3;50,36;86,42;37,14;53,11;10,71;90,39;90,38;21,24;62,05;77,41;8,79;18,39;3,05;12,18;175,24;6,84;75,85;81,44;91,37;79,97;87,69;84,1;91,52;84,38;6;68,02;6;40,61;4,3;29,8;42,7;4,35;9,4;2,62;2,27;55,1;10,1;9,14;30,46;70,05;30,46;6,09;84,61;12,57;2,39;46,06;19,89;46,15;1,41;4;0;5;25,46;0,31;50,64;1,33;2;51,97;25,07;2;14,13;7,43
1505486;44,93;50,98;45,07;38,73;90,13;10,27;62,6;40,91;38,58;5,71;87,78;48,2;33,65;60,98;54,69;5,6;20,62;2,1;14,67;128,87;6,17;1,07;8,9;46,9;34,68;73,88;64,2;69,83;85,63;6;69,87;6;22,36;5,4;38,2;51;3,8;15,8;2,36;0,83;27,23;6,33;12,58;56,6;75,46;33,54;4,19;0,02;54,93;10,61;315,38;25,22;76,92;1,07;5;5;3;26,29;1,48;17,4;41,67;5;39,04;26,43;2;8,01;5,32
1505494;53,72;65,49;51,5;44,18;90,25;36,42;85,8;49,48;53,36;10,6;89,07;52,95;20,58;52,42;95,32;8,39;9,52;0;13,18;1030,93;5,69;78,85;36,26;67,53;61,49;87,55;93,72;92,51;66,42;6;26,35;5;8,78;1,9;33,5;51,8;4,4;9,9;0,37;0,68;40,72;28,45;13,18;39,53;79,06;13,18;13,18;0;82,94;0,37;19,42;1,85;44,44;1,45;2;0;2;31,43;14,49;28,57;0;1;44,74;0;1;11,46;8,3
1505502;57,26;64,12;56,99;50,66;91,44;36,35;88,57;40,12;63,3;18,61;85,04;61,02;40,18;70,38;75,5;16,56;14,04;1,18;17,68;96,85;5,68;80,66;13,27;82,33;89,58;93,66;78,79;92,72;80,39;6;60,39;6;26,22;1,8;24,1;42,8;5,1;9,3;15,71;8,34;73,09;4,66;17,68;66,29;106,94;33,59;5,3;5,08;45,66;0,72;66,72;4,24;84,62;3,46;7;0;6;21,4;27,96;17,29;0,92;2;70,21;26,72;2;24,32;15,38
1505536;62,26;71,3;69,57;45,92;92,25;60,82;89,75;42,39;73,84;26,38;87,79;90,26;36,84;77,59;49,38;19,88;14,2;1,92;16,32;21,85;4,59;72,02;21,91;87,58;89,49;81,67;90,44;95,48;119,36;6;49,61;6;15,2;1,5;12,2;35,3;5,05;3,7;28,71;9,01;96,51;8,01;13,92;43,69;88,35;36,01;5,28;80,77;18,5;0,85;7,53;0,57;53,33;10,48;2;0;7;16,08;4,83;21,43;0,91;2;232,62;131,96;3;31,36;17,18
1505551;47,18;53,45;44,5;43,58;77,61;14,69;80,99;40,51;38,53;11,85;68,23;59,4;29,38;46,02;81,54;17,4;25;0;72,47;787,4;6,63;65,8;3,85;60,35;61,29;84,07;86,45;86;65,91;6;97,27;6;24,32;6,4;32,9;63,8;4;12,9;0,95;0,97;56,05;22,17;18,24;145,91;200,62;91,19;18,12;11,76;56,25;0,51;88,39;24,4;55,56;4,44;2;0;0;35;1,54;25,83;0,83;2;12,54;24,31;2;25,72;16,05
1505601;51,78;64,57;44,19;46,56;85,92;50,78;74,58;47,03;44,75;8,3;70,42;53,29;24,24;55,04;100;6,97;10,53;12,38;24,76;1052,63;4,54;83,51;56,71;20,55;73,14;76,22;67,62;80,38;64,47;6;24,76;5;20,63;2;32,8;53,7;3,95;18;12,12;2,47;16,73;8,65;49,52;99,05;185,71;86,67;12,38;0;81,06;0,14;25,53;1,86;44,44;4,08;2;7;3;32,63;2,87;26,32;0;1;0;0;1;9,66;6,81
1505635;48,43;54,88;47,61;42,79;86,23;5,42;80,84;47,05;51,53;6,72;81,47;50,71;24,18;51,68;88,06;7,24;24,24;7,7;15,41;606,06;6,77;9,07;6,17;17,76;48,55;76,87;96;90,46;47,08;6;23,11;5;20,54;4;29,1;46,9;3,9;7,9;0,33;1,31;27;14,74;53,92;46,22;115,55;30,81;11,55;0;87,93;0,26;78,65;2;55,56;0,69;8;0;0;22,42;1,34;51,52;0;1;26,88;38,06;2;9,63;7,32
1505650;49,43;57,82;54,72;35,75;94,05;4,94;78,74;53,54;62,44;2,74;92;61,69;16,89;49,95;71,39;4,76;14,18;0;6,53;0;5,29;4,92;13,54;5,45;38,13;89,93;91,06;84,4;34,01;5;30,13;5;13,99;1,5;27,6;35,2;4,25;6,2;0,68;0,21;18,17;0,35;9,68;38,73;58,1;9,68;4,84;20,54;34,31;11,42;145,99;26,88;38,46;0,6;2;0;1;28,37;71,21;19,5;7,94;3;32,84;10,87;2;6;5
1505700;58,02;68,46;55,04;50,58;91,42;35,62;74,61;72,19;54,78;6,6;88,6;70,18;34,52;61,85;100;5,94;16,48;3,27;6,43;549,45;4,66;54,3;32,62;29,47;44,5;60,33;95,86;85,37;19,14;4;7,51;3;4,29;3,5;28;38,7;4,15;9,9;3,27;1,04;35,9;2,72;12,87;28,96;77,22;45,04;6,43;0;2,17;0;6,02;2,69;81,82;0,22;2;0;4;23,08;16,36;39,56;0;1;0;0;1;8,2;5,82
1505809;46,81;51,8;45,18;43,45;92,6;16,78;46,85;50,96;24,61;6,26;90,4;59,44;28,15;43,47;90,76;11,41;19,12;1,61;9,67;63,73;4,07;15,29;29,45;2,3;39,78;41,37;55,77;47,53;72,74;6;27,94;5;1,61;7,9;49,3;58,3;3,45;18,6;2,55;0,36;29,86;8,38;8,06;22,56;43,52;48,35;8,06;7,46;10,33;20,59;173,81;23,96;66,67;0,21;6;9;4;29,83;285,67;17,78;0;1;1,1;1,37;2;16,92;10,49
