METRO;CAPITAL;IPS;VAB21;PIB21;PIBPC21;ATV;POP21;ARREC23;DEMA;DESMAR;MORTR;MORTI;MORT;MORTINF;HOSP;SUBN;AGUA;ESG;IAGUA;PAGUA;COLETA;LUZ;PAREDE;PISO;ASSJ;ASSM;MORTAT;HOMI;ABNEF;ABNEM;EVSEM;DSTIEM;IDEBF;REPM;INTER;BANDA;TELM;QINTM;EXPVIDA;MRT1550;MRTCRN;OBS;SUI;VERDE;CO2;CALOR;VUNEC;VEG;DIRH;JUS;CULT;GRAV19;PARQUE;TRABI;VMULHER;ESUP;ENEM;FBE14;AG;PEC
0;0;50,02;839573,57;905335,28;39112,42;AGR;23147;21972209,7;24,94;2,32;30,33;4,33;161,59;7,73;1663,28;3,78;5,28;1,8;22,41;49,79;56,19;83,37;92,54;99,19;23,65;9,41;32,35;32,35;0,16;2,1;7;16,2;4,85;0,1;48,57;10,48;68,19;96;71,87;3,17;387,23;23,14;13,87;1,34;81,44;56,85;55;20,46;0;0,89;3;12,11;1,2;0,94;169,3;37,29;502,81;4,85;1;0
0;0;45,33;709716,1;742687,06;23076,28;PEC;32184;91920831,21;43,02;8,25;47,78;2,17;88,97;8,62;1479;4,38;6,01;23,72;11,1;64,47;45,41;84,66;86,34;94,02;48,79;24,18;35,37;47,16;2,9;12;9;26,9;4,5;1,2;41,74;10,24;48,81;95,62;71,15;2,63;262,39;23,43;11,79;3,91;263,9;435,07;55,15;35,03;2;0,98;5;17,67;0,24;2,52;193,45;33,66;485,56;4,5;0;1
0;0;59,49;336637,1;352628,35;25539,82;PEC;13807;13011203,41;45,5;0,33;70,89;0;167,46;10,93;1296,44;4,34;55,13;83,14;56,05;16,6;56,13;97,96;94,03;99,02;7,37;2,87;22,87;15,25;0,18;1,32;8,8;13,5;5;4,4;53,09;16,4;61,06;89,62;70,75;2,46;472,24;19,11;7,62;0,89;47,35;6,86;55,47;34,29;8;1,01;2;11,48;0,88;0;46,13;39,12;512,3;5;0;1
0;0;51,09;463159;483671,84;36454,01;AGR;13268;16563093,68;34,26;1,95;30,18;0;116;13,33;2110,34;5,4;17,71;1,83;23,2;5,47;51,14;95,79;95,12;97,77;24,04;17,86;17,42;17,42;2,1;13,1;12,3;22,8;4,85;1,5;47,55;3,58;40,97;91,74;71,64;1,54;441,89;26,47;17,42;1,67;121,05;52,27;58,18;24,67;6;0,87;2;18,67;0;19,64;17,86;41,18;503,6;4,85;1;0
0;0;48,64;478026,6;510361,3;22929,34;ADM;22258;26073990,61;77,52;4,43;36,62;0,96;97,43;24,51;566,09;5,22;4,39;0,88;6,3;46,39;52,59;83,46;96,25;98,63;89,96;7,83;12,25;49,02;1,5;4,2;13,2;20,4;4,9;13,4;50,01;11,76;65,49;96,99;73,22;2,58;333,69;22,36;6,13;0,08;118,74;128,06;52,04;56,14;2;1,09;2;13,73;0,55;0;100,28;33,82;495,98;4,9;0;0
0;0;49,42;893251,11;966552,08;23549,74;ADM;41043;66228234,2;83,65;3,72;34,69;5,04;145,73;23,21;823,53;4,89;0,76;15,56;12,42;28,5;71,48;96,96;95,96;98,71;18,95;7,26;46,44;39,3;1,3;12,7;11,6;20,4;4,75;1,5;71,6;22,78;91,45;95,7;70,08;2,56;484,98;21,82;7,14;1,24;60,7;140,75;50,42;68,2;3;0,91;2;20,7;0;5,96;326,7;31,4;529,08;4,75;0;0
0;0;52,48;220380,52;231501,79;28492,53;PEC;8125;7612563,07;88,61;0,35;108,06;0;213,47;4,95;1526,15;5,42;26,45;11,53;16,92;15,82;46,65;87,31;86,39;98,67;58,86;26,71;13,04;52,17;0,1;1,3;4;15,3;5,2;1,5;27,11;11,72;29,9;94,98;72,92;1,33;389,01;20,45;39,13;0,79;45,42;2,61;53,07;42,99;5;1,06;2;8,82;0;2,09;32,05;44,52;517,21;5,2;0;1
0;0;52,92;267681,61;275337,64;43655,88;PEC;6307;4312253,76;76,84;1,63;15,95;3,12;109,31;15,63;1189,15;4,66;13,09;16,88;12,32;47,1;55,98;89,72;97,01;98,95;23,5;0;14,46;19,28;1,1;1,4;9,2;14,6;4,7;5,6;40,44;22,29;56,84;97,64;73,08;0,48;444,65;23,7;14,46;1,43;148,72;166,27;51,95;46,08;5;1,09;3;15,63;1,32;8,79;248,51;55,2;505,02;4,3;0;1
0;0;49,87;358384,38;369376,84;25667,21;PEC;14391;9704620,54;61,23;2,32;14,02;1,38;83,15;43,8;507,26;4,31;25,39;9,56;26,79;47,44146667;36,38;94,24;95,43;97,28;10,35;3,01;15,83;11,31;2,9;13;12,3;33,8;4,95;3;28,41;16,05;39,59;94,5;71,34;2,64;565,64;23,66;11,31;0,79;126,73;173;52,15;46,31;4;0,91;3;21,9;1,04;3,47;191,34;47,35;510,88;5,5;0;1
1;0;49,82;618520,46;655606,24;23357,78;ADM;28068;30178649,44;41,74;18,31;40,16;0,79;174,94;17,96;701,87;4,38;52,62;91,74;43,12;67,67;54,56;85,28;71,8;89,23;41,45;4,72;53,79;53,79;3,1;2,9;13,1;16,2;4,35;30,3;61,6;10,02;90,19;96,01;74,11;3,22;464,23;25,46;8,96;0,58;253,73;625,06;47,9;32,6;2;1,03;2;21,56;0,48;1,25;36,89;45,31;491,91;4,35;0;0
