Column1;AGE;GENDER;STATE;EDUC;MARRIED;JOB;INC;PEOPLE;PINC;CEREAL;ROOT;VEGAN;FRUITS;MEAT;EGGS;MILK;OIL;SUGAR;WELL;CWELL;PWELL;ORG;CORG;PORG;GARDEN;CGARDEN;PGARDEN;VEG;CVEG;PVEG;GARDV1;GARDV2;GARDV3;GARDV4;GARDV5;NGARD;FGARD;INDEXV;INDEXN;VEGROOT;MEETEGG;DEPRATIO
254;420;10;SP;160;0;10;25000;50;20;70;20;70;40;40;70;50;70;70;70;10;30;40;40;40;50;50;50;20;10;30;10;10;0;0;0;0;20;1060;3;70;70;6
255;460;10;PI;160;0;0;15000;30;10;30;10;10;40;20;10;70;10;20;20;30;20;30;50;20;30;20;40;50;40;40;10;10;0;10;10;0;40;510;3;40;70;6,66667E+15
256;270;10;MG;160;10;10;65000;30;20;70;40;70;70;70;70;70;70;70;20;50;50;40;50;50;50;50;50;50;10;10;10;10;0;0;10;0;30;1095;3;70;70;3,33333E+15
257;360;10;SP;110;10;0;15000;30;0;70;70;70;70;40;40;50;70;70;50;50;50;50;50;50;50;50;50;30;20;50;10;0;0;10;0;0;20;1080;3;70;70;10
258;370;10;RJ;160;0;10;80000;20;20;60;50;60;60;40;60;50;70;70;70;20;30;40;30;30;40;20;40;40;20;30;10;0;0;10;10;0;30;1050;3;70;70;0
259;310;10;CE;120;10;0;15000;20;10;70;70;70;70;60;30;0;30;70;70;20;10;50;50;30;50;40;50;30;20;30;10;10;0;10;10;0;40;790;3;70;30;5
260;670;10;SP;160;0;0;100000;20;20;70;20;50;70;70;70;70;70;70;30;50;40;30;50;20;30;50;20;50;10;10;10;0;0;10;0;0;20;1040;3;70;70;0
261;480;10;PE;110;10;0;15000;20;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;10;40;10;10;10;0;0;10;0;0;0;10;0;1;0;0;10
262;360;10;BA;160;10;0;15000;20;0;70;30;70;70;40;70;70;30;70;70;30;50;20;40;40;40;30;40;40;20;30;10;0;0;0;0;0;10;930;3;70;70;10
263;660;10;CE;120;0;0;135000;30;0;70;0;50;40;70;70;70;50;40;0;20;20;30;40;30;30;40;20;20;20;20;0;0;0;0;10;0;10;900;3;70;70;10
