IBGE;IPSAMZ14;NHB;FBE;OP;NHB1;NHB2;NHB3;NHB4;FBE1;FBE2;FBE3;FBE4;OP1;OP2;OP3;OP4;NHB11;NHB12;NHB13;NHB14;NHB15;NHB21;NHB22;NHB23;NHB31;NHB32;NHB33;NHB34;NHB41A;NHB41B;NHB42A;NHB42B;NHB43;FBE11;FBE12;FBE13;FBE14;FBE15;FBE21;FBE22;FBE23;FBE24;FBE31;FBE32;FBE33;FBE34;FBE35;FBE41;FBE42;FBE43;FBE44;FBE45;OP11;OP12;OP13;OP14;OP21;OP22;OP23;OP24;OP31;OP31B;OP32;OP33A;OP33B;OP41;OP42
2114007;49,58;59,91;51,85;36,98;92,44;32,28;77,09;37,82;59,97;11,67;75,72;60,02;15,41;55,31;76,58;0,60;18,82;1,25;2,03;13,60;5,41;66,20;14,45;34,42;62,99;91,01;75,65;75,35;79,03;6,00;35,50;5,00;28,15;4,40;18,80;51,60;3,05;6,40;5,71;7,18;56,97;2,06;50,51;42,74;202,06;42,74;7,77;24,05;83,05;0,67;15,02;1,75;73,33;1,06;4,00;9,00;1,00;33,25;38,02;36,01;0,00;1,00;132,79;39,80;2,00;0,88;0,56
5100102;57,85;63,93;57,80;51,83;69,74;41,06;78,29;66,61;79,88;14,46;66,73;70,13;31,20;69,13;100,00;6,98;63,49;14,08;36,41;36,87;5,79;72,11;81,60;63,91;55,31;93,28;92,75;69,05;50,20;6,00;0,00;1,00;30,67;1,10;6,80;31,80;4,50;0,20;3,92;8,31;66,22;14,75;36,87;55,31;239,68;129,06;0,00;0,00;0,00;0,00;34,76;0,74;55,56;1,48;2,00;4,00;4,00;23,81;131,25;17,46;0,00;1,00;0,00;0,00;1,00;11,49;5,74
5100201;60,17;65,23;66,64;48,65;92,59;41,34;88,42;38,59;85,23;34,17;77,76;69,40;24,52;67,89;81,95;20,24;17,07;0,00;3,96;19,82;3,54;84,53;16,08;78,07;84,49;95,48;98,37;77,12;43,97;6,00;15,58;4,00;67,40;0,30;4,90;19,70;5,05;2,90;20,81;35,10;87,07;24,53;39,64;75,31;103,06;43,60;7,93;0,06;0,51;0,25;55,85;3,46;54,55;2,95;4,00;0,00;3,00;22,68;107,28;18,05;0,00;1,00;9,09;102,25;3,00;32,74;17,00
5100250;52,89;62,36;64,97;31,35;92,33;37,90;83,87;35,35;83,96;43,65;73,38;58,88;19,23;75,93;9,64;20,61;13,09;3,27;4,02;11,62;4,87;61,59;30,23;86,89;85,34;96,56;98,86;60,28;54,91;6,00;34,05;5,00;43,01;0,30;4,10;30,00;4,90;1,00;35,03;36,42;112,26;22,61;46,50;73,62;174,37;52,31;7,75;1,52;55,11;0,37;43,95;0,96;81,82;3,29;6,00;5,00;6,00;19,96;37,48;21,81;108,70;5,00;289,99;201,58;4,00;32,20;17,98
5100300;60,39;63,61;64,35;53,22;92,93;42,11;78,94;40,48;79,76;31,05;77,14;69,45;39,12;60,62;93,38;19,74;15,69;0,00;5,35;10,69;5,91;91,60;40,04;99,70;90,98;94,61;96,61;43,82;23,38;5,00;22,45;5,00;46,14;0,80;9,80;39,80;4,65;2,60;22,56;33,95;67,98;16,60;16,04;74,85;133,67;58,81;10,69;0,00;0,00;0,00;40,77;8,03;45,45;3,96;4,00;4,00;2,00;22,75;321,29;42,75;0,00;1,00;58,98;0,00;1,00;28,13;18,81
5100359;60,12;70,82;65,27;44,27;93,23;33,75;81,43;74,88;80,89;18,89;92,06;69,23;17,10;55,77;95,87;8,36;37,04;0,00;0,00;0,00;5,77;58,49;1,20;60,57;79,25;87,24;95,89;66,59;23,42;5,00;0,00;1,00;15,02;0,70;5,60;29,60;4,40;0,90;10,64;15,49;77,69;2,78;36,02;15,02;15,02;15,02;0,00;52,40;51,84;0,67;50,37;64,73;66,67;1,00;2,00;3,00;2,00;34,15;0,00;46,34;0,00;1,00;36,83;0,00;1,00;11,54;8,19
5100409;61,95;66,30;64,12;55,44;91,30;39,56;92,04;42,31;78,16;29,86;78,69;69,76;33,63;66,76;100,00;21,35;12,66;0,00;0,00;33,70;4,67;92,67;13,33;79,45;97,54;98,52;98,41;77,90;24,64;5,00;15,00;4,00;79,03;0,10;5,60;32,90;4,75;5,20;22,37;26,72;81,35;13,63;33,70;58,98;109,54;42,13;13,60;0,00;0,00;0,00;40,30;4,22;22,22;6,14;9,00;5,00;2,00;18,99;0,00;35,44;0,00;1,00;0,00;0,00;1,00;33,87;18,34
5100508;57,55;65,23;58,92;48,49;93,19;41,12;83,37;43,26;77,77;12,27;80,05;65,60;22,03;65,87;100,00;6,03;11,24;0,00;9,72;8,90;5,01;77,18;26,17;66,09;67,35;91,63;90,63;81,00;51,70;6,00;15,38;4,00;39,38;0,20;4,30;39,80;4,40;0,10;4,70;10,13;44,81;11,26;8,90;53,39;204,66;53,39;0,00;0,05;22,27;0,00;23,05;2,39;66,67;1,42;2,00;3,00;2,00;21,10;0,00;32,11;0,00;1,00;0,00;0,00;1,00;8,59;5,76
5100607;63,77;70,53;69,20;51,58;96,28;40,22;94,70;50,91;80,62;36,22;90,21;69,76;23,10;61,94;97,29;23,99;6,13;0,00;0,00;9,47;3,95;97,59;19,72;96,74;98,37;99,57;99,08;84,69;26,74;5,00;12,63;4,00;27,39;1,10;15,70;31,40;5,05;4,10;28,67;37,14;70,56;23,18;28,42;37,89;47,36;9,47;0,00;0,00;0,00;0,00;39,97;4,30;55,56;5,23;7,00;5,00;2,00;24,54;0,00;45,40;0,00;1,00;24,17;0,00;1,00;39,89;19,52
5100805;56,23;61,42;67,89;39,37;87,27;23,03;91,19;44,20;83,72;20,01;83,62;84,19;19,97;55,94;71,86;9,70;18,02;0,00;10,02;40,08;5,10;51,39;2,41;42,04;76,52;97,49;98,87;89,34;39,60;5,00;35,52;5,00;23,81;1,00;3,30;28,10;4,10;0,30;11,57;16,61;67,45;11,68;20,04;40,08;120,25;50,11;0,00;71,22;10,46;1,99;187,14;19,13;66,67;2,05;2,00;5,00;2,00;27,93;159,23;63,96;0,00;1,00;23,12;161,62;4,00;13,73;9,30
