IBGE;MUNIC;UF;ARRECADA;VABAGRO;VABIND;VABSER;VABSER;VABTOT;IMPLIQ;POP21;PIB;PIBPC;VAB1;VAB2;VAB3;RPC;PATLIQP;RMDEC;PATLIQD;POBE23;POB23;CADU
1200385;Plácido de Castro;AC;19171104,49;309366,107;17444,407;98405,076;149485,643;574701,234;26769,274;20147,00;601470,508;29854,1;AGR;ADM;PEC;282,98;3565,75;5223,68;65822,83;5908;1570;10403
1200393;Porto Walter;AC;7617665,55;25572,853;4314,233;22836,36;104988,402;157711,848;2822,901;12497,00;160534,749;12845,86;ADM;DMS;AGR;89,53;314,31;3832,06;13452,50;7199;748;9354
1200401;Rio Branco (Acre);AC;265472433,2;464933,151;880534,415;5153657,302;2949436,306;9448561,175;1507113,683;419451,99;10955674,86;26119,02;DMS;ADM;COM;1063,89;23040,16;8160,71;176733,26;111711;23170;186321
1200427;Rodrigues Alves;AC;15318793,99;55116,275;7342,372;31896,104;158223,944;252578,695;3069,86;19767,00;255648,556;12933,1;ADM;AGR;DMS;112,18;187,52;4770,85;7974,97;10205;767;13106
1200435;Santa Rosa do Purus;AC;648864899,6;25745,472;2260,064;14093,654;64913,493;107012,683;1532,426;6893,00;108545,109;15747,15;ADM;AGR;DMS;143,17;283,74;4931,71;9773,58;4937;335;6460
1200450;Senador Guiomard;AC;22863630,3;391220,06;30582,332;150417,753;175830,353;748050,498;31621,191;23446,00;779671,689;33253,93;AGR;ADM;PEC;403,09;4234,97;6145,76;64569,39;11702;1519;16967
1200500;Sena Madureira;AC;26124791,23;209648,957;36343,601;153427,532;322723,704;722143,794;25950,373;47167,99;748094,167;15860,21;ADM;DMS;PEC;269,18;3568,47;5654,92;74965,25;29598;1978;36456
1200609;Tarauacá;AC;38302334,36;176339,166;23416,041;158431,935;322737,007;680924,149;30960,265;43729,99;711884,414;16279,09;ADM;DMS;AGR;260,49;3234,01;6297,11;78179,73;33089;2301;40421
1200708;Xapuri;AC;15459174,27;199220,702;23433,241;69330,853;142223,111;434207,908;20772,718;19866,00;454980,626;22902,48;ADM;AGR;PEC;356,94;6354,31;5663,65;100825,22;7196;1783;11829
1200807;Porto Acre;AC;13736612,33;259570,866;13578,138;50906,797;139960,174;464015,975;7298,664;19141,00;471314,639;24623,3;AGR;ADM;PEC;160,48;998,27;4482,00;27880,53;11504;1737;16083
1300029;Alvarães;AM;2369797,35;66407,124;10232,344;32275,709;104372,105;213287,281;4045,227;16395,99;217332,509;13255,22;ADM;AGR;DMS;98,66;309,66;4585,10;14391,45;10564;1144;13192
1300060;Amaturá;AM;8352216,17;13548,264;5176,561;19563,875;77746,18;116034,88;2836,861;11934,00;118871,741;9960,76;ADM;DMS;AGR;122,46;231,38;4463,46;8432,98;5619;1895;9905
1300086;Anamã;AM;3704100,11;36623,922;6641,347;20013,702;72409,641;135688,612;2910,785;14292,00;138599,397;9697,69;ADM;AGR;DMS;90,16;508,13;4712,76;26559,59;7548;597;9859
1300102;Anori;AM;7398397,25;83154,828;10306,785;33232,566;115607,169;242301,348;6133,902;21937,00;248435,25;11324,94;ADM;FLR;DMS;95,85;293,56;4485,10;13735,92;10753;368;12743
1300144;Apuí;AM;18455754,38;84455,832;24728,401;59992,079;113588,958;282765,269;15044,817;22738,99;297810,086;13096,89;ADM;PEC;DMS;191,28;20049,71;4205,26;440797,93;6061;2074;12318
1300201;Atalaia do Norte;AM;8618087,1;26576,167;5315,828;25012,825;123688,707;180593,528;4353,744;20868,00;184947,271;8862,72;ADM;DMS;AGR;125,01;206,74;4696,05;7766,42;9171;736;12002
1300300;Autazes;AM;7872358,17;118723,645;31985,203;95443,012;238317,386;484469,246;21871,342;41005,02;506340,588;12348,26;ADM;DMS;AGR;111,24;578,63;4272,47;22224,00;37380;498;40863
1300409;Barcelos;AM;2683413,22;31861,9;19069,033;41808,891;146399,995;239139,819;6481,75;27771,99;245621,569;8844,22;ADM;DMS;FLR;129,30;435,50;5472,47;18432,21;9056;1621;13302
1300508;Barreirinha;AM;12205030,43;52170,922;16600,356;57523,414;208089,569;334384,261;10505,246;32919,01;344889,507;10476,91;ADM;DMS;AGR;111,45;559,67;3679,12;18475,39;23980;1439;29199
1300607;Benjamin Constant;AM;6170793,5;36798,708;24291,26;64580,178;251028,324;376698,469;12082,43;44872,99;388780,899;8664,03;ADM;DMS;AGR;142,18;651,49;4596,57;21061,81;24987;2169;32123
1300631;Beruri;AM;7481164,92;26467,472;10111,881;38302,653;129777,153;204659,159;7212,053;20503,00;211871,211;10333,67;ADM;DMS;FLR;105,37;287,33;4485,48;12231,52;19702;869;22786
1300680;Boa Vista do Ramos;AM;1831789496;25810,385;9165,166;30379,255;112933,086;178287,892;4124,209;20040,00;182412,101;9102,4;ADM;DMS;FLR;98,13;427,08;4080,46;17758,38;9828;856;13407
1300706;Boca do Acre;AM;24380909,09;121255,395;53416,793;115369,362;189778,013;479819,562;32976,016;34958,01;512795,578;14668,9;ADM;DMS;PEC;299,69;5073,69;6824,30;115534,04;17307;1710;23434
1300805;Borba;AM;13245615,44;52627,877;19864,961;74601,348;240084,223;387178,409;14952,267;42327,99;402130,676;9500,35;ADM;DMS;AGR;101,10;270,86;4840,46;12967,53;23252;1170;28013
1300839;Caapiranga;AM;852127,84;52503,622;8137,201;26900,305;86564,717;174105,845;3788,302;13482,00;177894,147;13194,94;ADM;AGR;DMS;108,54;270,33;4436,24;11048,79;7779;818;10028
1300904;Canutama;AM;2355081,79;23311,614;6976,473;26296,915;93398,387;149983,389;4332,758;15980,99;154316,147;9656,23;ADM;DMS;AGR;87,31;266,57;4928,99;15048,96;10837;227;12536
1301001;Carauari;AM;6241978,68;98426,771;23988,744;80006,774;151406,231;353828,52;16828,12;28719,00;370656,64;12906,32;ADM;AGR;DMS;163,18;1291,46;4583,30;36272,81;22250;424;25430
1301100;Careiro;AM;14843491,29;60821,104;35813,655;70459,021;212447,979;379541,759;15652,335;38819,99;395194,093;10180,17;ADM;DMS;AGR;111,64;1172,41;3867,44;40613,95;16342;4187;26432
1301159;Careiro da Várzea;AM;5318350,92;193978,226;15110,34;35049,533;163697,881;407835,98;5538,166;31459,00;413374,145;13140,09;ADM;AGR;DMS;63,13;226,70;4251,74;15267,97;14276;434;17268
1301209;Coari;AM;32824081,84;113909,65;2000959,742;615213,672;536327,57;3266410,634;113867,389;86712,99;3380278,023;38982,37;IEXT;DMS;ADM;168,71;774,34;4794,48;22005,79;44339;4847;56347
1301308;Codajás;AM;17835335,37;299133,383;18840,39;49137,809;155827,558;522939,14;9056,327;29691,01;531995,467;17917,73;FLR;ADM;AGR;111,72;516,07;5123,71;23668,02;13057;1808;19309
