IBGE;MUNIC;UF;VABAG;VABIND;VABSER;VABADM;VABTOT;PIB;PIBPC
1302405;Lábrea;AM;234933,723;25786,638;106796,754;233507,82;601024,934;625198,549;13111,01
1302504;Manacapuru;AM;409120,902;142289,413;368854,471;552761,491;1473026,277;1544675,041;15506,76
1302553;Manaquiri;AM;93213,197;14926,054;33241,913;162979,665;304360,829;311334,942;9162,03
1302603;Manaus;AM;201066,729;37697008,57;33086598,86;11279397,52;82264071,68;103281436;45782,75
1302702;Manicoré;AM;184244,064;41055,747;128372,586;303517,605;657190,002;686279,198;11955,04
1302801;Maraã;AM;18701,158;7816,915;25730,476;119439,415;171687,964;176217,181;9630,41
1302900;Maués;AM;67606,848;36745,6;119688,201;344043,17;568083,818;595826,607;9005,98
1303007;Nhamundá;AM;27468,292;9860,055;41753,522;119446,699;198528,568;207005,201;9535,02
1303106;Nova Olinda do Norte;AM;39756,608;20970,982;57933,071;207199,971;325860,633;341652,222;8836,21
1303205;Novo Airão;AM;8944,54;12582,543;40620,819;117356,829;179504,73;186533,353;9146,03
1303304;Novo Aripuanã;AM;56186,234;15548,872;39474,281;133342,086;244551,472;252421,954;9545,89
1303403;Parintins;AM;290478,698;92451,048;358506,633;594532,912;1335969,291;1426984,346;12255,21
1303502;Pauini;AM;37032,254;7530,596;32920,291;116552,872;194036,012;199541,324;10172,38
1303536;Presidente Figueiredo;AM;95258,695;433687,216;193115,421;266747,611;988808,942;1031905,063;27087,68
1303569;Rio Preto da Eva;AM;87221,946;40821,396;77028,98;175770,115;380842,437;407145,836;11680,8
1303601;Santa Isabel do Rio Negro;AM;17852,923;6115,777;25474,224;131235,411;180678,334;185816,959;6994,54
1303700;Santo Antônio do Içá;AM;26918,397;12934,345;46551,259;139600,063;226004,064;237314,012;11360,72
1303809;São Gabriel da Cachoeira;AM;25902,229;25535,974;92871,271;258740,748;403050,221;423053,804;8995,21
1303908;São Paulo de Olivença;AM;36479,821;13702,978;50082,728;225716,796;325982,323;334131,304;8182,07
