AGE;GENDER;EDU;MARRY;JOB;INCOME;HOUSE;OWN;CHILD;TEEN;ADULT;PET;STATE;POP;LIST;SHOP;STORE1;LABEL;STORE2;LUNCH;COOK;CHECK;MAID;LEFT1;LEFT2;FREEZE1;FREEZE2;OUT;READY;WASTE1;WASTE2;HARD;AVOID;FOOD1;FOOD2;DISC1;EXPIRED;SPOILED;DISLK;BADCK;NKEEP1;NKEEP2;DISC2;CERE;ROOTS;BEANS;MILK;PROTE;FRUIT;SWEET;DRINK;DISH;BREAD
19;1;14;1;0;1500;0;0;0;0;2;0;PE;706867;4;4;30;4;1;1;4;1;0;4;3;5;3;3;3;4;4;5;3;3;2;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
54;1;17;0;0;41250;1;1;0;1;6;1;PE;1653461;4;4;30;3;3;5;2;4;1;5;5;4;4;2;3;4;5;4;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;1;14;1;1;10000;1;0;0;0;4;0;PE;1653461;3;4;15;2;1;3;4;1;0;3;5;3;1;3;3;4;3;4;2;4;4;3;1;1;1;0;0;0;2;1;0;0;0;0;1;0;0;0;0
19;0;14;1;0;19000;0;1;0;1;3;0;PE;1653461;4;3;7;3;4;3;2;1;1;4;4;3;3;3;2;2;2;5;5;2;2;2;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0
30;1;16;0;1;4500;0;0;0;0;2;1;PE;114079;4;3;30;4;2;4;3;2;0;5;4;4;3;3;3;4;4;4;5;2;2;1;1;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0
42;1;14;1;1;1500;1;0;2;2;1;1;RJ;6747815;2;5;1;4;2;5;4;4;0;3;2;2;2;2;2;4;5;3;2;2;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;0;16;0;1;2500;1;1;0;0;3;1;PE;1653461;4;3;30;3;2;1;3;3;0;5;5;5;5;2;2;4;5;4;5;1;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
20;1;14;1;0;1500;0;1;0;0;2;0;PE;1653461;3;4;7;2;2;5;2;4;0;5;5;4;2;3;3;4;4;3;4;2;2;1;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;1;0
50;1;12;1;1;2500;1;1;0;0;3;1;PE;1653461;4;4;30;5;4;5;5;5;0;5;5;5;4;5;2;5;5;5;5;2;2;1;0;1;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0
42;0;12;1;1;4500;0;0;0;2;1;1;PE;354317;4;4;30;3;2;3;3;3;0;4;3;4;4;3;3;3;3;4;3;3;2;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
49;1;22;0;1;13500;1;1;2;2;2;1;SP;65570;2;4;3;3;3;4;4;2;1;5;5;3;5;2;2;5;5;5;5;3;2;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
58;1;16;0;1;2500;1;1;0;1;2;1;SP;11447;4;4;5;2;2;5;5;5;0;5;5;4;2;2;2;4;5;5;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;1;18;1;1;1500;0;0;0;0;1;0;PE;1653461;4;3;15;4;5;4;5;4;0;4;4;4;4;1;4;4;4;4;4;2;2;1;0;1;0;0;0;0;4;1;1;1;0;0;1;0;0;0;0
22;1;14;1;0;13500;1;1;0;0;3;1;SP;711825;5;4;5;3;4;5;2;1;1;5;4;4;5;2;2;4;4;5;4;2;2;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
25;1;14;0;1;2500;1;0;0;0;1;0;SP;122497;4;4;30;5;3;5;4;5;0;5;5;5;5;2;3;5;5;4;4;2;2;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
