IBGE;MUNIC;NHB2114;NHB2115;NHB2116;NHB2117;NHB2118;NHB2119;NHB2120;NHB2121;NHB2122;NHB2123;NHB2124;NHB2214;NHB2215;NHB2216;NHB2217;NHB2218;NHB2219;NHB2220;NHB2221;NHB2222;NHB2223;NHB2224;NHB2314;NHB2315;NHB2316;NHB2317;NHB2318;NHB2319;NHB2320;NHB2321;NHB2322
5105606;Matupá;66,61;67,24;64,00;62,44;65,48;67,79;69,08;70,25;71,07;73,71;73,87;20,31;15,12;16,27;11,23;8,54;6,43;5,84;5,61;9,70;19,80;26,50;100,00;90,64;90,33;91,21;93,56;77,09;77,09;77,09;81,49
5105903;Nobres;84,58;87,92;90,24;89,77;87,36;86,51;84,23;83,87;82,69;81,14;80,47;27,62;18,63;10,63;14,67;15,61;14,93;13,55;12,46;27,66;27,38;24,37;;;;;;;;;
5106000;Nortelândia;77,22;77,62;77,71;79,02;79,79;80,53;82,11;83,42;85,16;83,70;85,41;9,34;8,92;8,46;11,16;12,96;12,74;19,31;15,82;11,90;12,47;10,01;98,96;95,37;97,50;98,76;96,50;81,87;81,87;81,87;79,95
5106182;Nova Lacerda;60,00;60,14;58,64;59,28;58,06;58,96;61,01;60,57;60,46;60,58;60,64;15,57;11,71;7,85;7,64;6,05;2,19;1,58;7,93;29,98;40,88;49,72;52,20;51,22;56,52;55,57;53,97;53,04;56,29;56,11;56,39
5106190;Nova Santa Helena;79,51;80,62;80,63;82,29;83,14;83,77;83,61;84,87;85,56;85,22;84,40;9,00;16,00;16,43;12,31;8,81;9,29;7,92;7,38;7,61;6,34;7,84;62,70;78,13;76,51;63,85;64,53;64,20;63,87;;32,18
5106216;Nova Canaã do Norte;57,45;59,14;58,17;66,52;71,21;70,49;70,61;69,14;68,95;69,23;69,61;2,55;1,83;1,83;1,61;1,77;1,40;1,12;0,98;1,01;0,95;4,29;;;100,00;100,00;100,00;100,00;100,00;;100,00
5106299;Paranaíta;48,94;52,03;54,76;55,49;58,39;58,85;59,70;60,63;59,96;60,62;60,11;28,99;16,77;10,06;8,28;5,20;2,59;1,31;0,91;0,71;0,70;0,66;58,21;58,56;59,14;59,13;57,89;57,73;57,80;57,84;59,88
5106307;Paranatinga;76,49;77,99;77,73;78,00;77,58;77,66;77,06;78,06;78,75;78,24;78,07;5,76;4,13;3,43;3,26;2,94;2,75;2,54;2,35;2,27;1,96;2,16;100,00;78,98;79,04;79,95;77,95;76,80;76,80;76,80;75,96
5106372;Pedra Preta;81,15;82,49;82,86;83,61;86,19;85,94;86,72;86,99;86,41;86,20;85,63;13,63;22,12;23,88;17,37;12,63;11,03;10,00;9,54;10,39;11,52;13,75;95,05;93,93;95,07;95,43;94,28;72,25;72,25;72,25;78,22
5106455;Planalto da Serra;83,06;83,40;83,35;84,26;84,98;84,44;85,13;85,85;84,73;82,80;81,66;6,70;1,54;0,89;0,71;0,89;0,96;1,22;10,29;47,49;75,76;87,91;;;;;;;;;
5107008;Poxoréu;81,16;81,18;79,41;77,87;78,62;78,08;79,11;79,26;74,94;73,04;72,43;49,22;50,47;42,15;33,24;30,60;28,75;31,82;39,59;34,61;28,44;26,47;;;;;;;;;
5107180;Ribeirão Cascalheira;50,60;41,83;43,13;54,01;58,86;60,29;60,44;61,73;62,62;64,07;65,55;22,74;21,04;17,32;11,76;7,38;14,00;11,50;8,48;5,80;4,76;5,65;66,24;67,65;68,91;69,44;;62,66;62,66;62,00;54,31
5107198;Ribeirãozinho;88,89;88,99;88,51;89,74;89,56;90,80;90,97;90,18;90,21;91,06;92,06;45,43;44,03;45,53;38,86;38,87;37,72;36,72;39,54;38,11;39,53;39,13;100,00;;72,94;94,78;94,77;;70,69;70,19;67,68
5107305;São José do Rio Claro;82,87;84,24;84,87;85,44;87,14;86,32;86,51;85,84;84,48;84,58;83,75;12,12;3,97;1,27;2,06;1,71;1,48;1,33;1,13;1,19;1,30;1,11;80,47;81,83;76,90;77,37;90,35;76,90;76,90;76,90;77,10
5107602;Rondonópolis;93,85;95,59;96,18;95,84;96,56;96,95;97,13;97,08;96,82;96,97;96,87;81,44;77,58;76,89;74,78;76,15;79,16;82,48;85,74;88,20;90,44;92,78;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
5107909;Sinop;77,82;81,41;84,52;85,26;86,34;86,58;86,78;87,46;88,11;88,53;89,39;32,67;31,54;36,38;36,31;41,06;38,51;42,27;48,71;51,28;50,98;52,74;100,00;100,00;100,00;100,00;100,00;82,89;82,89;82,89;84,32
5108105;Tesouro;85,46;84,41;83,47;84,34;84,16;84,33;84,60;84,34;81,05;80,17;81,62;39,28;34,64;32,35;30,85;27,93;25,00;24,14;35,18;48,26;55,47;60,96;;;;;;;;;
5108204;Torixoréu;87,73;89,31;89,93;91,32;91,87;92,90;92,86;92,88;92,18;92,40;91,50;10,61;3,19;2,42;23,91;36,40;43,79;49,63;49,56;53,62;56,23;56,15;99,34;;76,45;;;;76,43;77,75;65,11
1100015;Alta Floresta D'Oeste;17,01;19,32;19,37;20,76;21,81;23,46;24,48;25,45;25,46;26,00;26,93;23,95;16,20;7,24;7,89;5,64;4,65;4,87;4,56;4,04;3,60;3,35;38,91;40,50;40,61;41,97;47,37;47,75;47,15;46,72;50,43
1100023;Ariquemes;27,28;30,22;32,11;34,31;37,62;40,88;43,61;45,22;48,11;49,08;49,93;23,52;14,36;9,93;9,82;8,27;7,18;6,17;6,22;6,13;5,69;5,88;36,94;41,16;39,24;80,30;91,28;68,07;84,70;84,70;88,25
1100031;Cabixi;22,68;26,78;34,93;36,73;39,46;43,04;40,53;40,42;40,75;43,84;43,47;64,59;75,67;78,99;64,52;50,59;36,08;26,92;27,95;18,92;11,16;6,01;28,84;33,19;30,53;36,60;42,66;42,66;44,95;48,00;40,38
1100049;Cacoal;72,66;73,86;73,59;74,65;78,90;80,53;81,15;81,58;81,41;81,65;81,31;45,90;45,92;44,96;46,33;52,40;54,57;57,24;62,36;70,72;71,81;71,50;78,81;78,81;78,81;78,81;78,81;78,81;78,81;78,81;83,63
1100056;Cerejeiras;21,10;24,85;27,30;32,92;36,20;36,92;36,30;37,54;39,37;41,61;43,64;34,75;34,78;27,25;12,41;9,30;11,77;14,02;16,34;19,60;24,97;28,73;44,54;50,93;48,88;54,99;61,41;64,76;63,47;64,10;78,56
1100064;Colorado do Oeste;56,07;61,54;65,11;69,31;73,32;75,70;77,18;78,31;78,32;77,92;79,47;17,66;3,85;1,95;4,53;7,26;7,04;7,08;6,03;5,08;4,50;3,91;70,09;72,73;70,67;80,68;73,46;73,46;91,40;86,53;72,30
1100080;Costa Marques;13,60;12,70;12,31;12,48;13,27;13,74;13,52;14,49;15,25;16,44;17,96;54,61;47,84;45,17;48,56;62,36;67,06;66,62;69,30;61,44;64,39;54,57;14,75;16,46;15,49;16,59;16,06;16,43;17,14;18,85;29,69
1100098;Espigão D'Oeste;21,86;23,43;25,19;27,87;32,97;35,21;36,00;37,26;38,17;39,05;38,57;17,28;11,48;7,01;5,01;4,10;5,23;5,49;5,43;5,17;5,12;4,84;33,98;38,94;36,11;43,34;47,04;48,25;44,76;48,41;61,95
1100106;Guajará-Mirim;30,61;28,31;29,39;29,85;31,26;32,95;33,90;33,76;33,35;32,80;31,87;33,89;33,88;45,30;56,76;65,80;71,98;73,78;74,42;75,37;74,08;72,51;38,79;40,61;34,34;41,12;44,24;42,57;38,44;43,31;50,66
1100114;Jaru;20,60;23,87;26,01;27,69;29,34;33,03;34,95;36,01;38,20;39,51;41,22;26,91;15,03;11,01;7,11;2,93;1,58;1,42;1,27;1,09;0,99;1,95;35,43;39,38;38,40;42,38;47,32;52,20;52,91;50,00;63,26
1100122;Ji-Paraná;34,91;39,82;43,38;45,37;49,78;49,71;50,75;51,87;53,05;53,93;54,68;51,04;50,94;37,82;32,43;30,00;23,66;19,80;18,39;15,16;14,82;14,68;51,52;58,48;52,50;61,95;66,39;66,63;62,65;69,49;80,72
