IBGE;MUNIC;METRO;CAPITAL;VAB21;PIB21;PIBPC21;ATV;POP21;ARREC23;IPSAMZ23;NHB;FBE;OP;NHB1;NHB2;NHB3;NHB4;FBE1;FBE2;FBE3;FBE4;OP1;OP2;OP3;OP4;NHB11;NHB12;NHB13;NHB14;NHB15;NHB21;NHB22;NHB23;NHB31;NHB32;NHB33;NHB34;NHB41A;NHB41B;NHB42A;NHB42B;NHB43;FBE11;FBE12;FBE13;FBE14;FBE15;FBE21;FBE22;FBE23;FBE24;FBE31;FBE32;FBE33;FBE34;FBE35;FBE41;FBE42;FBE43;FBE44;FBE45;OP11;OP12;OP13;OP14;OP21;OP22;OP23;OP24;OP31;OP31B;OP32;OP33A;OP33B;OP41;OP42
1506138;Redenção;0;0;2134238,88;2552479,29;29567,91;SERV;86326;280005162,5;51,4;56,6;57,97;39,63;87,4;19,83;93,8;25,37;71,94;23,94;79,81;56,2;24,58;53,84;65,43;14,66;22,49;243,16;11,69;2,34;5,13;42,9;2,28;48,81;92,14;94,78;91,78;96,16;189,87;6;77,14;6;94,67;3,9;15,8;30,8;4,65;1,3;16,12;1,57;123,84;1,32;53,76;63,11;139,08;60,77;5,84;0,37;69,43;0,02;10,97;0,6;66,67;4,62;4;0;3;21,76;0,66;19,7;14,81;4;62,62;64,24;3;23,09;14,73
1506161;Rio Maria;0;0;511699,34;601871,92;33055,36;PEC;18208;28149949,08;52,7;57,99;55,23;44,87;80,75;18,9;87,37;44,93;71,65;16,61;81;51,65;24,23;42,78;98,07;14,41;13,84;0;10,99;32,97;5,95;43,32;26,72;19,97;76,18;87,26;90,3;93,32;85,6;6;27,47;5;16,48;0,2;15,2;35,1;4,55;6,3;10,58;0,54;88,02;10,07;21,98;38,46;153,84;76,92;16,48;0;83,11;0,51;69,87;5,11;63,64;4,94;4;0;2;29,07;2,83;30,1;0;1;22,74;0;1;21,25;15,38
1506187;Rondon do Pará;0;0;670773,18;734050,16;13787,05;ADM;53242;50632985,51;52,33;64,55;51,64;40,79;88,21;37,01;82,71;50,26;59,43;9,8;83,73;53,6;21,72;42,63;90,49;8,33;14,9;189,04;11,36;1,91;6,07;82,44;2,27;72,69;79,71;91,51;66,65;92,35;35,24;5;34,09;5;15,15;2,6;30,9;39,4;4,5;10,6;4,8;0,56;59,01;2,94;43,56;53,03;138,25;34,09;5,68;0,05;69,48;2,05;72,3;10,35;46,67;1,59;2;5;2;28,12;7,94;21,79;0;1;11,94;7,92;2;12,11;9
1506195;Rurópolis;0;0;463891,32;496837,22;9468,44;ADM;52473;18303597,69;49,68;61;55,45;32,59;88,9;18,28;72,88;63,93;64,99;5,48;91,32;60;12,35;46,83;64,29;6,87;24,5;222,72;3,88;1,94;5,09;37;7,52;26,3;59,92;83,86;66,35;78,05;17,01;4;10,83;4;3,88;5,2;24,8;41;4,7;1,5;2,47;0,11;32,04;6,89;11,65;25,24;48,54;21,36;1,94;26,31;36,35;15,13;115,4;10,81;38,46;0,87;2;0;2;24,94;4,11;9,35;114,94;5;27,94;49,37;3;10,31;7,22
1506203;Salinópolis;0;0;567643,04;641900,69;15593,74;SERV;41164;54974431,38;56,23;67,68;59,14;41,87;89,13;58,82;83,85;38,93;68,36;25,09;77,3;65,8;38,98;46,71;74,32;7,47;14,25;142,45;14,66;2,46;4,46;80,54;2,75;89,23;85,17;73,39;89,23;88,59;89,14;6;43,99;6;12,22;4;17,2;35,6;4,35;2;17,14;0,37;140,17;6,91;68,42;92,86;122,18;68,42;4,89;0,99;16,89;2,33;2,6;0,1;53,85;4,2;8;5;3;25,78;13,98;26,78;322,58;5;9,84;30,81;2;11,56;7,63
1506302;Salvaterra;0;0;202003,59;210370,98;8624,59;ADM;24392;4124095,92;53,73;65,55;53,84;41,81;87,46;45,53;66,68;62,51;57,86;8,22;82,03;67,24;26,31;49,02;82,73;9,17;8,62;287,36;20,77;4,15;4,98;89,34;75,03;31,64;43,28;44,48;89,33;85,9;14,99;4;12,46;4;12,46;4,7;26,2;41,1;4,15;8,9;0,42;0,27;61,28;13,3;16,61;78,92;157,84;41,54;16,61;0,01;13,5;0,35;2,87;1,76;45,45;3,12;3;6;3;25,29;5,14;35,92;0;1;3,4;114,3;3;15;8,86
1506351;Santa Bárbara do Pará;1;0;213521,84;240524,22;11027,66;ADM;21811;19816231,02;53,49;62,8;54,51;43,15;85,18;44,77;82,61;38,64;71,07;12,78;75,85;58,33;35,84;46,2;73,72;16,86;10,56;0;27,97;4,74;6,19;78,06;20,11;65,79;74,35;73,16;91,04;90,7;102,51;6;46,62;6;13,99;1,9;17,5;37;4,7;3,3;6,28;0,41;82,23;2,55;46,62;102,57;153,85;79,26;0,97;0;59,03;0,26;3,83;0,14;72,73;6,62;4;6;2;24,65;1,01;53,52;0;1;9,46;170,94;4;24,76;18,06
1506401;Santa Cruz do Arari;0;0;94728,37;96042,73;9150,41;ADM;10496;4327900,95;55,07;70,2;55,89;39,11;81,03;52,38;84,13;63,26;58,08;9,9;85,11;70,48;15,06;45,49;90,8;5,08;50;194,17;9,7;9,87;5,18;82,94;18,51;89,51;69,3;90,28;98,01;74,59;13,86;4;19,39;4;7,94;3,5;28,8;53,5;4;3,3;3,6;0,12;65,53;10,17;9,7;48,48;116,35;67,87;0;0;0;0;10,33;0,57;55,56;0,19;2;0;2;23,75;4,42;70;0;1;8,31;39,86;2;7,62;5,34
1506500;Santa Isabel do Pará;1;0;814341,19;935129,08;12835,31;ADM;72856;172231160,9;53,95;63,96;55,23;42,68;89,8;37,04;85,02;43,97;67,96;15,22;82,47;55,26;24,07;49,21;90,76;6,66;14,91;60,54;12,53;2,78;4,27;79,06;1,05;86,55;88,35;73,64;87,2;92,56;63,85;6;32,02;5;22,27;3,5;20,2;41,8;4,45;0,2;8,48;0,92;86,71;3,42;70,99;52,9;143,38;29,23;5,57;1,34;75,83;0,2;3,87;0,08;66,67;4,32;2;3;2;21,3;0,8;52,5;0;1;8,77;18,98;2;10,51;6,67
1506559;Santa Luzia do Pará;0;0;187611,4;196168,1;9888;ADM;19839;9289934,55;51,9;60,61;53,39;41,7;87,24;20,28;79,53;55,38;65,2;10,03;78,97;59,37;23,63;43,45;89,8;9,95;18,99;53,19;15,12;5,04;5,02;7,34;61,06;6,35;60,19;83,17;81,42;88,97;18,25;4;25,2;5;15,12;0,9;25,3;43,6;4,4;5,2;4,79;0,39;65,7;0,39;55,44;70,55;166,31;60,47;5,04;28;92,17;0,04;18,5;2,82;36,36;2,92;2;7;1;24,05;0,76;42,41;0;1;20,15;39,22;2;13,91;11,09
