IBGE;MUNIC;OP3114;OP3115;OP3116;OP3117;OP3118;OP3119;OP3120;OP3121;OP3122;OP3123;OP3214;OP3215;OP3216;OP3217;OP3218;OP3219;OP3220;OP3221;OP3222;OP3223;OP33A14;OP33A15;OP33A16;OP33A17;OP33A18;OP33A19;OP33A20;OP33A21;OP33A22;OP33A23
5103809;Figueirópolis D'Oeste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;190,48;63,49;0;0;126,98;0;0;0;0;0;484,65;0;0;0;0
5103858;Gaúcha do Norte;0;0;0;0;56,98;28,49;0;4,07;8,14;4,07;47,63;0;23,82;23,82;261,97;0;23,82;23,82;261,97;238,15;0;0;39,57;0;39,57;0;0;0;118,72;118,72
5103908;General Carneiro;158,43;4,66;4,66;27,96;0;32,62;41,94;55,92;69,9;177,07;660,18;173,73;69,49;243,22;34,75;243,22;312,72;243,22;416,96;694,93;888,1;0;0;0;0;0;59,21;0;59,21;59,21
5103957;Glória D'Oeste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5104104;Guarantã do Norte;0;46,51;46,51;93,02;0;46,51;0;0;0;0;123,51;169,02;123,51;396,54;117,01;123,51;58,51;65,01;182,02;201,52;127,99;142,21;56,88;213,31;56,88;56,88;42,66;14,22;42,66;85,32
5104203;Guiratinga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5104500;Indiavaí;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5104526;Ipiranga do Norte;0;0;0;0;0;0;0;0;0;0;107,99;0;0;27;54;80,99;161,99;0;80,99;269,98;50,86;0;0;0;0;101,73;0;0;50,86;0
5104542;Itanhangá;0;0;0;0;0;0;0;0;0;0;0;0;0;28,32;28,32;0;28,32;0;56,64;0;0;0;0;54,17;0;0;0;0;0;0
5104559;Itaúba;0;0;0;0;0;0;0;0;0;0;0;0;0;205,25;123,15;451,56;82,1;82,1;410,51;246,31;0;0;0;0;83,82;167,64;83,82;0;83,82;0
5104609;Itiquira;0;0;0;0;0;0;0;0;0;476,19;0;116,84;33,38;100,15;83,46;83,46;150,23;116,84;166,92;383,91;0;33,55;0;0;67,09;0;134,18;167,73;134,18;436,1
5104807;Jaciara;0;0;0;0;0;400;0;0;0;400;41,66;13,89;20,83;55,55;69,44;104,16;83,33;131,94;312,48;305,53;32,06;0;16,03;64,12;32,06;48,09;32,06;80,15;128,25;48,09
5104906;Jangada;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5105002;Jauru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5105101;Juara;6,72;26,86;33,58;33,58;20,15;6,72;0;20,15;161,18;0;123,12;803,24;820,83;1108,11;545,26;445,59;351,78;87,95;140,71;23,45;37,14;618,97;705,62;693,24;383,76;247,59;99,03;0;49,52;37,14
5105150;Juína;19,17;12,78;12,78;51,12;44,73;57,51;63,9;19,17;44,73;51,12;145,82;97,21;229,77;291,64;583,27;388,85;366,75;309,31;424,2;410,94;68,37;9,77;97,68;195,35;420;380,93;166,05;136,75;224,65;312,56
5105176;Juruena;0;0;0;238,1;0;238,1;0;0;0;0;182,37;222,9;121,58;364,74;303,95;628,17;283,69;141,84;101,32;263,42;123,25;123,25;41,08;123,25;410,85;493,02;123,25;164,34;41,08;41,08
5105200;Juscimeira;0;0;0;0;0;0;0;0;0;0;0;0;17,71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5105234;Lambari D'Oeste;0;0;0;0;0;0;0;0;0;0;0;0;42,81;0;0;0;0;0;0;128,42;0;0;0;0;0;0;0;0;0;0
5105259;Lucas do Rio Verde;0;0;0;0;0;0;0;0;172,41;172,41;278,46;144,03;158,44;180,04;180,04;309,67;199,25;180,04;412,9;650,55;322,42;151,44;166,1;410,36;131,9;92,82;78,16;43,97;146,56;307,77
5105309;Luciara;0;0;0;15,63;0;0;0;0;15,63;0;80,65;0;0;161,29;80,65;0;0;0;241,94;0;0;0;0;0;0;0;0;0;0;0
5105507;Vila Bela da Santíssima Trindade;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,42;74,53;24,84;99,38;37,27;0;0;0;0;0;0;0;0;67,57;0
5105580;Marcelândia;0;0;0;21,51;0;0;0;0;0;0;253,9;435,26;362,71;344,58;453,39;235,76;344,58;199,49;72,54;108,81;105,78;246,83;70,52;246,83;282,09;176,3;141,04;70,52;0;0
5105606;Matupá;0;0;38,31;38,31;0;0;0;0;76,63;0;142,06;121,77;101,47;142,06;152,21;365,3;345;243,53;121,77;81,18;41,37;20,68;41,37;41,37;62,05;124,1;82,73;82,73;20,68;20,68
